transaction_id,user_id,transaction_date,transaction_amount,payment_method,transaction_type
Q2-TX-000077,937,07-04-2025,$-203.78,Bank Transfer,REFUND
Q2-TX-000078,1460,10/04/2025,-409.35,paypal,refund
Q2-TX-000079,386,"May 11, 2025",$640,PayPal, Add-on 
Q2-TX-000080,86,15-05-2025,USD 193.36, Debit Card , Subscription 
Q2-TX-000081,208,20/05/2025,$269.02,bank transfer, Upgrade
Q2-TX-000082,934,22/04/2025,372.59, Bank Transfer,Add-on 
Q2-TX-000083,840,"Jun 29, 2025",266.47,PAYPAL,Add-on
Q2-TX-000084,1068,24 Apr 2025,$126.43,PAYPAL,Subscription
Q2-TX-000085,865,11/05/2025,USD 242.42,bank transfer,subscription
Q2-TX-000086,1219,05/30/2025,$190,paypal,Subscription 
Q2-TX-000087,554,16-04-2025,36.26,credit card, Subscription 
Q2-TX-000088,1189,2025-06-04,-11.82 USD,PayPal,REFUND
Q2-TX-000089,198,13 Jun 2025,242.21,DEBIT CARD, Add-on 
Q2-TX-000090,970,20 May 2025,$108.41,paypal,Add-on
Q2-TX-000091,1107,21/05/2025,USD 377.51,PayPal ,Upgrade 
Q2-TX-000092,220,24 Jun 2025,122.52 USD,PAYPAL,Upgrade 
Q2-TX-000093,279,2025-06-27,$139,Credit Card,Add-on 
Q2-TX-000094,694,2025-05-30,-322.37,Bank Transfer ,Refund
Q2-TX-000095,1239,04 Jun 2025,$164,debit card,ADD-ON
Q2-TX-000096,1444,06/11/2025,USD 104.76, Bank Transfer ,Upgrade
Q2-TX-000097,272,"May 26, 2025",USD -285.12,credit card, Refund 
Q2-TX-000098,80,06/19/2025,788.55 USD, Bank Transfer,add-on
Q2-TX-000099,920,04/17/2025,120.26 USD, PayPal, Add-on
Q2-TX-000100,727,05/17/2025,348.15 USD, Credit Card , Subscription 
Q2-TX-000101,1192,03-05-2025,$311,DEBIT CARD, Subscription
Q2-TX-000102,227,2025-05-24,USD 695.85,Credit Card ,SUBSCRIPTION
Q2-TX-000103,1172,20 Apr 2025,432.44, Debit Card ,SUBSCRIPTION
Q2-TX-000104,12,16/06/2025,USD 203.20, Credit Card , Add-on
Q2-TX-000105,1281,10/04/2025,USD 280.82,Debit Card,Add-on 
Q2-TX-000106,759,13-04-2025,$49,bank transfer,UPGRADE
Q2-TX-000107,437,19 Jun 2025,$-495.58, Debit Card,Refund
Q2-TX-000108,633,2025-05-21,USD -73.03,Bank Transfer ,refund
Q2-TX-000109,943,"Apr 13, 2025",$278.75, Bank Transfer ,add-on
Q2-TX-000110,811,05/24/2025,277.72,Credit Card,subscription
Q2-TX-000111,86,10-06-2025,$310,BANK TRANSFER, Subscription
Q2-TX-000112,1423,"May 28, 2025",,CREDIT CARD, Add-on
Q2-TX-000113,1107,2025-06-20,USD -201.90, Bank Transfer, Refund 
Q2-TX-000114,317,13/06/2025,330.78 USD,CREDIT CARD,subscription
Q2-TX-000115,1153,04/11/2025,USD -311.37, PayPal ,refund
Q2-TX-000116,955,18 Apr 2025,667.27, Debit Card ,SUBSCRIPTION
Q2-TX-000117,147,05 Jun 2025,475.91 USD, Bank Transfer, Upgrade 
Q2-TX-000118,792,04/05/2025,$187, Credit Card , Upgrade 
Q2-TX-000119,636,14 Apr 2025,$-183,debit card,Refund 
Q2-TX-000120,386,"May 27, 2025",$116, Credit Card, Add-on
Q2-TX-000121,519,"Jun 13, 2025",$315.01, Debit Card,Upgrade 
Q2-TX-000122,1225,10/05/2025,49.89 USD,credit card,upgrade
Q2-TX-000123,832,25/04/2025,$57.82,DEBIT CARD, Add-on 
Q2-TX-000124,1216,2025-05-17,-294.92,PayPal , Refund 
Q2-TX-000125,154,06-04-2025,-401.38 USD,PayPal ,Refund
Q2-TX-000126,461,15/04/2025,129.02,paypal, Upgrade
Q2-TX-000127,141,10/06/2025,$334, PayPal , Upgrade 
Q2-TX-000128,1404,26/06/2025,$528.98,BANK TRANSFER,Upgrade
Q2-TX-000129,613,06/06/2025,383.68,BANK TRANSFER,Upgrade 
Q2-TX-000130,1134,26/05/2025,$-268,PayPal ,refund
Q2-TX-000131,247,20 May 2025,-290.63 USD,Bank Transfer ,Refund 
Q2-TX-000132,1069,14 Apr 2025,323.49,bank transfer,add-on
Q2-TX-000133,303,04 May 2025,230.77 USD, PayPal, Upgrade
Q2-TX-000134,400,08-04-2025,$158,CREDIT CARD, Subscription 
Q2-TX-000135,116,04/22/2025,$-238.80, Bank Transfer,refund
Q2-TX-000136,836,"May 13, 2025",152.05, Bank Transfer, Subscription 
Q2-TX-000137,513,02-05-2025,$390,PAYPAL, Subscription
Q2-TX-000138,880,06/27/2025,231.50,paypal,Subscription
Q2-TX-000139,930,04/04/2025,118.42,PayPal, Upgrade 
Q2-TX-000140,570,19-06-2025,$186,Credit Card ,Subscription
Q2-TX-000141,1155,15/05/2025,USD 123.60,Credit Card ,upgrade
Q2-TX-000142,167,21-04-2025,-540.80 USD,BANK TRANSFER,refund
Q2-TX-000143,263,18 Apr 2025,USD 377.04,PAYPAL, Upgrade 
Q2-TX-000144,917,"Jun 19, 2025",$166.29,Debit Card,Upgrade
Q2-TX-000145,391,2025-05-15,USD 145.75,CREDIT CARD,UPGRADE
Q2-TX-000146,480,24 Jun 2025,$-164.53,paypal,Refund 
Q2-TX-000147,1351,2025-06-29,$74,PayPal ,Add-on
Q2-TX-000148,1439,04/10/2025,$241, Debit Card , Subscription 
Q2-TX-000149,888,29/05/2025,86.38,PayPal ,Subscription
Q2-TX-000150,1428,04-06-2025,,bank transfer,refund
Q2-TX-000151,983,07-04-2025,$374.06,paypal,Upgrade 
Q2-TX-000152,975,2025-05-16,USD 515.81, Debit Card , Subscription
Q2-TX-000153,719,"May 27, 2025",, Debit Card,Refund
Q2-TX-000154,346,2025-05-10,143.83,debit card,upgrade
Q2-TX-000155,499,02 May 2025,$-68,credit card, Refund 
Q2-TX-000156,307,22-05-2025,USD -321.70, Credit Card,refund
Q2-TX-000157,237,2025-05-19,USD 216.79,Debit Card ,Upgrade
Q2-TX-000158,637,06/24/2025,USD 126.21, Bank Transfer ,ADD-ON
Q2-TX-000159,1350,05/05/2025,USD 138.07, PayPal, Add-on 
Q2-TX-000160,802,"May 25, 2025",420.40 USD,Credit Card ,Add-on 
Q2-TX-000161,290,06/03/2025,$28.12,DEBIT CARD, Subscription
Q2-TX-000162,620,15 May 2025,470.26,Bank Transfer,Upgrade 
Q2-TX-000163,23,2025-04-20,114.60 USD, PayPal , Upgrade 
Q2-TX-000164,1028,02 Jun 2025,$349,PayPal, Subscription 
Q2-TX-000165,166,04/06/2025,-90.97 USD,BANK TRANSFER, Refund 
Q2-TX-000166,201,29-05-2025,-276.75, Credit Card ,REFUND
Q2-TX-000167,758,"May 11, 2025",USD -189.48,PAYPAL, Refund 
Q2-TX-000168,111,03/05/2025,-464.24,Credit Card ,refund
Q2-TX-000169,1079,01/04/2025,$183.80,paypal,ADD-ON
Q2-TX-000170,1114,05/31/2025,495.05,Bank Transfer ,subscription
Q2-TX-000171,1043,"May 09, 2025",163.41, Bank Transfer , Subscription
Q2-TX-000172,545,"May 06, 2025",-336.54 USD, Debit Card , Refund
Q2-TX-000173,368,"Apr 15, 2025",$382.28,Bank Transfer,UPGRADE
Q2-TX-000174,1487,"Jun 01, 2025",180.25 USD,bank transfer,SUBSCRIPTION
Q2-TX-000175,93,04/12/2025,,PayPal ,Subscription 
Q2-TX-000176,531,"May 31, 2025",$71.88, Debit Card ,UPGRADE
Q2-TX-000177,999,21-05-2025,$-261, Bank Transfer ,Refund
Q2-TX-000178,1110,2025-06-12,$350.72, PayPal, Upgrade
Q2-TX-000179,1035,02/04/2025,525.41,Bank Transfer,Subscription 
Q2-TX-000180,727,2025-04-26,368.93, Bank Transfer , Upgrade 
Q2-TX-000181,117,"Apr 04, 2025",$243.98,BANK TRANSFER,upgrade
Q2-TX-000182,233,2025-05-03,174.23,Credit Card,UPGRADE
Q2-TX-000183,1334,15-04-2025,$207, Credit Card ,Upgrade 
Q2-TX-000184,1052,2025-06-01,$184.19, Credit Card,upgrade
Q2-TX-000185,322,01-04-2025,397.09 USD, Credit Card,upgrade
Q2-TX-000186,500,03-05-2025,469.85 USD,credit card, Add-on 
Q2-TX-000187,1109,2025-06-14,$182.24,credit card,Add-on 
Q2-TX-000188,519,2025-06-01,-301.64,PayPal, Refund 
Q2-TX-000189,679,"May 14, 2025",198.26,paypal,Subscription
Q2-TX-000190,588,2025-06-26,$58,BANK TRANSFER, Add-on
Q2-TX-000191,404,2025-06-10,$85.19,Credit Card,Subscription 
Q2-TX-000192,1084,29-04-2025,$121,credit card, Subscription
Q2-TX-000193,58,27/04/2025,USD -198.63,Debit Card, Refund
Q2-TX-000194,472,04/20/2025,$250, PayPal, Upgrade
Q2-TX-000195,1169,"Apr 20, 2025",USD 530.52,DEBIT CARD,Upgrade
Q2-TX-000196,264,21 Jun 2025,$224.99, Bank Transfer ,subscription
Q2-TX-000197,646,18-05-2025,$232, Bank Transfer,Add-on 
Q2-TX-000198,987,16/06/2025,349.82,credit card, Subscription 
Q2-TX-000199,517,2025-05-29,$91,DEBIT CARD, Upgrade
Q2-TX-000200,696,19-04-2025,252.96,PAYPAL,upgrade
Q2-TX-000201,319,11-04-2025,329.12,DEBIT CARD, Add-on 
Q2-TX-000202,211,2025-06-07,USD -164.23,CREDIT CARD, Refund
Q2-TX-000203,39,27 May 2025,$211,Bank Transfer ,upgrade
Q2-TX-000204,94,05/05/2025,178.60,Credit Card , Upgrade
Q2-TX-000205,766,04/25/2025,164.71 USD,DEBIT CARD,Upgrade 
Q2-TX-000206,230,2025-06-01,240.41, Bank Transfer,add-on
Q2-TX-000207,268,21-05-2025,$399,bank transfer,Upgrade
Q2-TX-000208,361,16 Jun 2025,$291.77, PayPal,Upgrade
Q2-TX-000209,1369,"May 14, 2025",-452.81, PayPal,Refund
Q2-TX-000210,1015,17 Apr 2025,163.35 USD,bank transfer,UPGRADE
Q2-TX-000211,900003,28 Apr 2025,$305.94, Bank Transfer, Upgrade
Q2-TX-000212,570,04/29/2025,261.77,PayPal ,add-on
Q2-TX-000213,1040,20-05-2025,395.22, Debit Card,Subscription 
Q2-TX-000214,265,04/22/2025,$-317,Bank Transfer ,Refund 
Q2-TX-000215,166,19-05-2025,440.04, Bank Transfer , Subscription 
Q2-TX-000216,308,17/05/2025,USD -140.26, Credit Card , Refund
Q2-TX-000217,870,10-04-2025,539.03,Credit Card ,Add-on 
Q2-TX-000218,61,04/03/2025,$164,PayPal ,Add-on 
Q2-TX-000219,830,16/04/2025,$151.05,Bank Transfer, Add-on
Q2-TX-000220,1021,06/12/2025,$298, Credit Card ,Add-on
Q2-TX-000221,455,10-06-2025,$-40, Credit Card, Refund
Q2-TX-000222,1365,23-05-2025,$211.36, Debit Card ,upgrade
Q2-TX-000223,208,04/19/2025,-128.66,PayPal ,Refund
Q2-TX-000224,476,09/06/2025,-103.72,CREDIT CARD,REFUND
Q2-TX-000225,37,07-05-2025,USD -127.14, Credit Card, Refund
Q2-TX-000226,454,04 May 2025,159.98,Credit Card ,Subscription 
Q2-TX-000227,1229,"May 10, 2025",127.42, Credit Card,Add-on
Q2-TX-000228,1449,05/10/2025,$98,PayPal,add-on
Q2-TX-000229,1405,"May 12, 2025",162.31,Bank Transfer , Add-on 
Q2-TX-000230,763,14/06/2025,$80,Bank Transfer , Upgrade
Q2-TX-000231,1308,11 Apr 2025,USD 303.86,BANK TRANSFER,UPGRADE
Q2-TX-000232,382,2025-06-24,USD 152.09, Bank Transfer,upgrade
Q2-TX-000233,1099,22-06-2025,$102,Credit Card, Upgrade
Q2-TX-000234,1304,"Apr 17, 2025",$334, PayPal ,Add-on 
Q2-TX-000235,714,2025-04-14,$305,paypal, Upgrade 
Q2-TX-000236,467,26 Apr 2025,117.14, Credit Card , Upgrade
Q2-TX-000237,1351,2025-06-21,$-627.81,DEBIT CARD, Refund
Q2-TX-000238,433,"May 08, 2025",$576,PayPal, Add-on
Q2-TX-000239,115,04/16/2025,USD 346.29,DEBIT CARD, Subscription
Q2-TX-000240,1270,08 Jun 2025,,Debit Card , Upgrade
Q2-TX-000241,669,2025-06-01,97.44,Credit Card ,Add-on
Q2-TX-000242,365,06/26/2025,284.90,Credit Card ,SUBSCRIPTION
Q2-TX-000243,406,04/30/2025,203.05,debit card, Upgrade
Q2-TX-000244,667,15-05-2025,289.38, Credit Card,Add-on
Q2-TX-000245,1459,15 Jun 2025,320.60, Credit Card,Subscription
Q2-TX-000246,892,2025-06-08,$324,BANK TRANSFER, Add-on
Q2-TX-000247,1140,2025-06-02,USD 124.59,Bank Transfer ,add-on
Q2-TX-000248,136,27/06/2025,803.32 USD,Bank Transfer ,Subscription
Q2-TX-000249,607,30 May 2025,USD 225.47,Credit Card,Add-on 
Q2-TX-000250,582,2025-04-25,$91.05,PAYPAL, Upgrade
Q2-TX-000251,775,08/05/2025,375.60, Credit Card ,SUBSCRIPTION
Q2-TX-000252,1477,09/04/2025,132.79,Credit Card,Subscription 
Q2-TX-000253,606,04/02/2025,$223.85, PayPal, Upgrade 
Q2-TX-000254,959,11/04/2025,-177.22, Debit Card,refund
Q2-TX-000255,1465,01 Apr 2025,$-291, PayPal ,refund
Q2-TX-000256,728,08-05-2025,$439.26, Credit Card, Upgrade 
Q2-TX-000257,922,28/06/2025,254.46 USD, Debit Card ,Subscription
Q2-TX-000258,1058,12/06/2025,$158,Debit Card ,subscription
Q2-TX-000259,894,"Apr 25, 2025",588.21,debit card, Upgrade
Q2-TX-000260,119,30-05-2025,$488.68, PayPal, Upgrade 
Q2-TX-000261,1153,16/04/2025,$-813,Debit Card, Refund 
Q2-TX-000262,956,10/05/2025,, Debit Card ,REFUND
Q2-TX-000263,22,"Apr 24, 2025",97.41,Credit Card , Upgrade
Q2-TX-000264,677,"May 10, 2025",$63.55,Debit Card, Subscription 
Q2-TX-000265,1229,2025-05-30,USD 79.09, Bank Transfer ,Subscription 
Q2-TX-000266,521,06/10/2025,179.46 USD,BANK TRANSFER,UPGRADE
Q2-TX-000267,1411,23-05-2025,-267.13,PayPal,Refund
Q2-TX-000268,212,"Jun 07, 2025",$125.74,bank transfer, Upgrade 
Q2-TX-000269,359,2025-06-09,$96, Debit Card,Subscription
Q2-TX-000270,1499,"Jun 19, 2025",$293.64,Debit Card,Subscription 
Q2-TX-000271,795,"Apr 15, 2025",$430,DEBIT CARD,upgrade
Q2-TX-000272,446,14/06/2025,34.03 USD,Debit Card, Add-on 
Q2-TX-000273,706,"Jun 10, 2025",,Debit Card, Refund 
Q2-TX-000274,848,27-04-2025,219.54,Bank Transfer,Upgrade 
Q2-TX-000275,1175,"May 09, 2025",$325, Debit Card ,SUBSCRIPTION
Q2-TX-000276,1256,2025-06-21,USD 106.98,Bank Transfer , Subscription
Q2-TX-000277,1484,06/03/2025,70.95,Bank Transfer ,Subscription 
Q2-TX-000278,934,05/29/2025,$405.60,Debit Card,Upgrade
Q2-TX-000279,1065,2025-06-01,$217,DEBIT CARD,Upgrade 
Q2-TX-000280,1300,14/06/2025,USD 115.56,CREDIT CARD, Upgrade
Q2-TX-000281,446,"May 14, 2025",-610.98 USD,credit card,REFUND
Q2-TX-000282,1358,2025-06-09,USD -338.75, Debit Card ,refund
Q2-TX-000283,1077,"Apr 05, 2025",USD -201.66, Credit Card ,REFUND
Q2-TX-000284,388,2025-05-30,USD 385.99, PayPal,ADD-ON
Q2-TX-000285,1141,01 Jun 2025,61.86,Credit Card ,Upgrade
Q2-TX-000286,1383,2025-04-17,$-162, Credit Card,Refund 
Q2-TX-000287,904,05-04-2025,138.57,Bank Transfer, Subscription 
Q2-TX-000288,928,05 Apr 2025,179.21, Credit Card, Subscription
Q2-TX-000289,602,20/05/2025,490.76,credit card,UPGRADE
Q2-TX-000290,156,2025-06-13,$548.70,Bank Transfer,SUBSCRIPTION
Q2-TX-000291,463,"Apr 22, 2025",$253,PayPal ,subscription
Q2-TX-000292,907,2025-05-23,143.99,PayPal,add-on
Q2-TX-000293,586,2025-04-02,88.27,DEBIT CARD, Add-on
Q2-TX-000294,201,2025-06-16,USD -508.36,Bank Transfer ,Refund 
Q2-TX-000295,499,09-04-2025,302.71, Debit Card,upgrade
Q2-TX-000296,667,03-06-2025,$128,DEBIT CARD,SUBSCRIPTION
Q2-TX-000297,9,06/28/2025,136.84, PayPal,UPGRADE
Q2-TX-000298,871,05/22/2025,245.88,DEBIT CARD,Subscription
Q2-TX-000299,1307,18 May 2025,59.78,Bank Transfer, Subscription 
Q2-TX-000300,387,10 Jun 2025,,Debit Card ,upgrade
Q2-TX-000301,1389,10/04/2025,122.55, Credit Card , Add-on
Q2-TX-000302,1375,2025-05-09,392.67,paypal,Add-on
Q2-TX-000303,769,"Apr 25, 2025",USD 239.41,bank transfer,Add-on 
Q2-TX-000304,516,25-06-2025,147.94, Credit Card , Add-on
Q2-TX-000305,1080,2025-04-05,111.72,debit card,ADD-ON
Q2-TX-000306,543,06/09/2025,592.08,credit card,ADD-ON
Q2-TX-000307,1375,05/22/2025,525.21,Credit Card ,Subscription 
Q2-TX-000308,270,"Apr 17, 2025",$-15.75,PayPal ,Refund
Q2-TX-000309,1125,"Apr 28, 2025",$552.19,PAYPAL,SUBSCRIPTION
Q2-TX-000310,42,09 Jun 2025,USD 103.00,PayPal ,Subscription
Q2-TX-000311,1465,13/06/2025,273.08 USD,BANK TRANSFER,subscription
Q2-TX-000312,614,04 Jun 2025,USD -247.30,BANK TRANSFER,Refund 
Q2-TX-000313,830,08 May 2025,USD -89.02, Debit Card ,Refund
Q2-TX-000314,680,"May 08, 2025",355.63,Debit Card ,upgrade
Q2-TX-000315,109,"May 09, 2025",-114.78,Bank Transfer,refund
Q2-TX-000316,1321,03-05-2025,$246,bank transfer,SUBSCRIPTION
Q2-TX-000317,1206,13/05/2025,$700.15,PayPal,Subscription
Q2-TX-000318,348,19/06/2025,$183,Bank Transfer, Add-on 
Q2-TX-000319,616,28-06-2025,$208.56,bank transfer, Upgrade
Q2-TX-000320,1452,19-05-2025,201.56,Debit Card,Upgrade 
Q2-TX-000321,585,06/10/2025,$128.46,PayPal ,SUBSCRIPTION
Q2-TX-000322,111,31-05-2025,46.84,bank transfer, Upgrade
Q2-TX-000323,382,09/06/2025,$184,Debit Card ,upgrade
Q2-TX-000324,1186,24-04-2025,, PayPal, Refund
Q2-TX-000325,436,05/16/2025,327.63 USD,Bank Transfer ,Subscription
Q2-TX-000326,729,"Jun 01, 2025",-185.77,Bank Transfer ,Refund
Q2-TX-000327,439,"Apr 08, 2025",USD 56.44, Bank Transfer ,Add-on 
Q2-TX-000328,606,01-06-2025,$527.52, PayPal ,SUBSCRIPTION
Q2-TX-000329,276,01 Apr 2025,$160,Bank Transfer,Add-on 
Q2-TX-000330,684,"Apr 15, 2025",$212,PayPal , Add-on
Q2-TX-000331,1317,04 Apr 2025,$218.73,Debit Card ,Upgrade
Q2-TX-000332,437,06-06-2025,-416.14, PayPal , Refund 
Q2-TX-000333,1447,2025-04-16,205.95 USD, Credit Card,Upgrade
Q2-TX-000334,333,2025-05-23,166.66, Debit Card ,Add-on
Q2-TX-000335,1186,"May 15, 2025",-147.10,PAYPAL, Refund 
Q2-TX-000336,1156,2025-04-18,$-134,Credit Card,REFUND
Q2-TX-000337,740,06/04/2025,$-76,Bank Transfer,Refund
Q2-TX-000338,1004,06/15/2025,157.35, PayPal ,add-on
Q2-TX-000339,1206,05/06/2025,-179.91 USD,paypal,REFUND
Q2-TX-000340,1500,2025-05-22,417.09,Credit Card, Subscription
Q2-TX-000341,518,04/20/2025,-406.93,PayPal ,refund
Q2-TX-000342,282,2025-04-13,$149.82,Debit Card ,UPGRADE
Q2-TX-000343,1256,27-04-2025,-71.28 USD,Debit Card,REFUND
Q2-TX-000344,1066,23-05-2025,$109, PayPal, Add-on 
Q2-TX-000345,474,06/05/2025,$-252,DEBIT CARD, Refund 
Q2-TX-000346,430,10 Jun 2025,122.19,PayPal, Upgrade
Q2-TX-000347,932,17-04-2025,USD -220.97,PayPal ,refund
Q2-TX-000348,315,"Jun 11, 2025",$42, Bank Transfer,subscription
Q2-TX-000349,1499,2025-05-01,453.35, Bank Transfer,Subscription 
Q2-TX-000350,262,18/05/2025,199.84,Debit Card , Subscription
Q2-TX-000351,922,"Jun 20, 2025",$177.06, Debit Card ,SUBSCRIPTION
Q2-TX-000352,1102,22-05-2025,$328.65,credit card,ADD-ON
Q2-TX-000353,484,22 May 2025,$-162,debit card, Refund
Q2-TX-000354,389,06/02/2025,49.31,DEBIT CARD,Add-on 
Q2-TX-000355,312,2025-04-29,$-189,PAYPAL,Refund 
Q2-TX-000356,1186,2025-04-19,200.96, Credit Card,Add-on
Q2-TX-000357,812,29-06-2025,$238,Credit Card ,upgrade
Q2-TX-000358,527,04/29/2025,618.76,DEBIT CARD,Upgrade 
Q2-TX-000359,1243,22/04/2025,$298.81, Debit Card,Upgrade 
Q2-TX-000360,1021,02/05/2025,223.46,Bank Transfer,ADD-ON
Q2-TX-000361,678,04/29/2025,-345.25,Credit Card, Refund
Q2-TX-000362,888,13/04/2025,$52, Bank Transfer ,SUBSCRIPTION
Q2-TX-000363,238,14/06/2025,USD 434.40,credit card,ADD-ON
Q2-TX-000364,945,17 Jun 2025,326.90 USD,Debit Card,upgrade
Q2-TX-000365,333,22-06-2025,454.44,paypal, Upgrade 
Q2-TX-000366,1447,25/06/2025,,credit card,Refund
Q2-TX-000367,1188,2025-05-12,USD -268.95, Debit Card,REFUND
Q2-TX-000368,1357,30-05-2025,-168.88 USD,PAYPAL,REFUND
Q2-TX-000369,813,09-05-2025,593.39 USD,Credit Card ,ADD-ON
Q2-TX-000370,80,04 Jun 2025,USD 176.58,credit card,upgrade
Q2-TX-000371,300,11 Apr 2025,97.16 USD,PAYPAL,ADD-ON
Q2-TX-000372,1428,25-06-2025,111.57,credit card, Upgrade 
Q2-TX-000373,481,13/04/2025,240.62,Bank Transfer,subscription
Q2-TX-000374,1296,30/04/2025,319.49, Bank Transfer, Upgrade
