ticket_id,user_id,opened_date,category,priority,resolution_hours,satisfaction,ticket_status
TCK-000070,174,11/22/2025,Feature Request, Medium ,51.6,1.0, Pending
TCK-000071,993,2025-01-01,Performance ,Critical ,3.7,3.0, Closed
TCK-000072,185,31-01-2025,Performance, Critical ,17.3,3.0,Resolved
TCK-000073,324,12 Jul 2025, Performance,High,11.4,1.0,open
TCK-000074,330,"Apr 10, 2025",Feature Request ,low,26.3,3.0,resolved
TCK-000075,1100,22-09-2025,PERFORMANCE, High,6.6,,Open
TCK-000076,151,03/01/2025, Performance , Medium ,22.1,3.0, Pending
TCK-000077,1404,"Nov 12, 2025", Technical ,critical,15.7,5.0,Closed 
TCK-000078,848,2025-04-04, Feature Request, Critical,8.0,2.0,OPEN
TCK-000079,1489,09/05/2025, Technical,low,2.1,1.0, Resolved 
TCK-000080,771,28 May 2025,Account ,medium,12.6,4.0,Resolved 
TCK-000081,226,2025-07-23,security,High,12.2,,Open 
TCK-000082,208,16/03/2025, Performance ,Medium ,31.3,1.0,Open
TCK-000083,1490,28/07/2025, Account ,Critical ,9.5,3.0,PENDING
TCK-000084,1422,2025-04-18,PERFORMANCE,Medium,29.2,2.0,Open 
TCK-000085,40,12/20/2025,Performance, Medium ,15.4,1.0,closed
TCK-000086,692,28/04/2025,PERFORMANCE, Medium,4.4,, Open
TCK-000087,1129,2025-09-12,Billing,Critical,6.3,5.0,Resolved
TCK-000088,287,04/26/2025, Account , Low ,17.1,1.0,resolved
TCK-000089,1309,2025-07-26,feature request, Medium ,11.2,1.0, Open 
TCK-000090,720,2025-08-02, Feature Request, Medium,36.5,1.0,Closed
TCK-000091,1237,2025-06-28,security,Medium,13.7,5.0, Pending
TCK-000092,1179,23 Apr 2025,PERFORMANCE,Low,10.8,4.0,open
TCK-000093,1015,2025-11-22, Billing ,Critical ,8.7,4.0,Closed
TCK-000094,255,24/09/2025, Performance , Low,22.6,,CLOSED
TCK-000095,832,01/21/2025,billing, Critical ,6.9,1.0,Open 
TCK-000096,271,12 Sep 2025,Account, Low ,6.8,5.0, Closed 
TCK-000097,1485,07/23/2025,SECURITY,high,8.8,3.0,Open 
TCK-000098,613,"Feb 28, 2025", Billing ,High ,1.6,5.0, Open
TCK-000099,1419,"May 10, 2025", Performance ,low,2.2,4.0, Pending 
TCK-000100,587,"Jan 26, 2025",feature request,Medium ,10.8,2.0,PENDING
TCK-000101,164,"May 11, 2025", Security, High,12.1,3.0,Pending
TCK-000102,1073,"Apr 03, 2025", Account , Critical ,5.0,2.0,pending
TCK-000103,507,26 May 2025,security, Critical ,4.0,, Resolved 
TCK-000104,670,05/05/2025, Billing , Medium ,13.6,4.0,Open
TCK-000105,472,08 Mar 2025, Billing ,medium,5.5,2.0, Resolved 
TCK-000106,497,11/21/2025,BILLING,Low ,14.3,4.0, Resolved
TCK-000107,1480,09-06-2025,Feature Request ,LOW,24.6,4.0,RESOLVED
TCK-000108,331,08 Jul 2025, Feature Request , Low ,5.5,4.0, Resolved
TCK-000109,293,2025-07-16,TECHNICAL,critical,3.5,, Open
TCK-000110,39,"Jul 27, 2025",technical,MEDIUM,6.4,1.0,Resolved
TCK-000111,1398,2025-03-27, Performance ,High ,6.8,4.0,Closed
TCK-000112,300,"Feb 09, 2025",Billing , Medium ,13.2,3.0,Open 
TCK-000113,1296,"Oct 12, 2025",Billing ,MEDIUM,13.8,, Pending
TCK-000114,619,06-11-2025,Security,Critical ,12.3,2.0,Resolved 
TCK-000115,301,08 Mar 2025, Billing ,Low ,29.0,1.0,resolved
TCK-000116,1094,07/19/2025,Security,LOW,5.3,5.0,Resolved
TCK-000117,318,21 Nov 2025,Security,MEDIUM,15.0,1.0, Open 
TCK-000118,1151,09 Mar 2025,PERFORMANCE,Critical ,38.8,,Resolved 
TCK-000119,1024,09/18/2025, Feature Request ,Low,13.7,,open
TCK-000120,689,11/07/2025,Feature Request , Medium,20.0,3.0, Resolved 
TCK-000121,1499,2025-11-27,technical,Medium,2.9,,Open
TCK-000122,664,28/09/2025,SECURITY,HIGH,33.7,4.0,Closed
TCK-000123,633,"Apr 16, 2025",SECURITY, Low,28.1,, Resolved 
TCK-000124,809,20/11/2025,feature request,Critical,23.4,3.0,Resolved 
TCK-000125,419,09/07/2025, Billing ,MEDIUM,25.7,4.0,Open 
TCK-000126,838,07-04-2025,account,High,7.6,3.0,Pending 
TCK-000127,1084,16 May 2025,Performance ,high,12.3,2.0, Resolved 
TCK-000128,1389,29/07/2025,PERFORMANCE,critical,11.0,4.0,resolved
TCK-000129,974,2025-11-11, Feature Request,Medium ,5.9,1.0, Closed
TCK-000130,656,2025-01-18,SECURITY, Critical,30.8,4.0,Open
TCK-000131,560,"May 18, 2025",account, Critical ,8.7,2.0,Pending 
TCK-000132,929,2025-12-08,FEATURE REQUEST,Low,28.1,4.0,Closed 
TCK-000133,1155,07/03/2025,account,Low ,9.2,5.0,pending
TCK-000134,1112,01/14/2025, Technical,critical,11.3,5.0,OPEN
TCK-000135,855,2025-04-09, Security , Medium,14.4,2.0,RESOLVED
TCK-000136,664,12 Jul 2025, Security,High ,10.4,2.0,Resolved 
TCK-000137,1324,"May 30, 2025",Billing,LOW,29.7,1.0, Pending
TCK-000138,121,17 Oct 2025, Security,Low ,2.1,3.0,Open 
TCK-000139,964,02/28/2025,BILLING, Critical,21.9,3.0, Pending
TCK-000140,451,10/08/2025,security, Medium,36.0,5.0,Open
TCK-000141,1156,02-09-2025,Billing,Critical,5.4,3.0,resolved
TCK-000142,1210,2025-08-15,BILLING, Medium ,0.7,3.0, Resolved
TCK-000143,210,2025-03-07,Security ,low,3.1,, Closed 
TCK-000144,1315,31-03-2025, Performance ,low,4.0,5.0, Open
TCK-000145,374,13/02/2025, Security ,Low,29.2,2.0,Resolved 
TCK-000146,778,25-12-2025,Security,critical,5.3,1.0,Pending 
TCK-000147,275,02-09-2025, Security , Low,8.2,4.0,Resolved 
TCK-000148,1300,"Dec 17, 2025",performance, Medium,8.6,1.0,RESOLVED
TCK-000149,288,2025-12-10,Security ,Low ,14.4,4.0,Pending 
TCK-000150,807,26/01/2025, Billing, Medium,22.3,4.0, Resolved
TCK-000151,1384,19/03/2025,Billing,High ,29.7,3.0,Open
TCK-000152,552,18 May 2025,SECURITY,HIGH,3.0,2.0,open
TCK-000153,147,06/11/2025,Billing , Medium,15.6,5.0,Closed 
TCK-000154,160,26-07-2025,ACCOUNT, Medium ,25.9,4.0, Open
TCK-000155,1130,17/02/2025, Security ,MEDIUM,35.7,4.0,RESOLVED
TCK-000156,916,10/06/2025, Account , Medium ,18.4,,CLOSED
TCK-000157,1126,01 Aug 2025,BILLING,MEDIUM,8.0,1.0,CLOSED
TCK-000158,828,18-09-2025, Feature Request ,medium,1.2,2.0, Pending 
TCK-000159,667,03/25/2025, Account ,CRITICAL,16.5,,Open 
TCK-000160,377,"Feb 20, 2025", Security,MEDIUM,11.7,5.0,Open 
TCK-000161,671,18-10-2025,technical,Low ,16.9,4.0,CLOSED
TCK-000162,52,2025-01-14, Account,High,3.1,3.0,pending
TCK-000163,1318,23 May 2025, Account,HIGH,35.3,,resolved
TCK-000164,1479,08/15/2025, Feature Request,High,28.7,1.0,resolved
TCK-000165,605,02/08/2025,Billing , Critical ,4.3,,Closed
TCK-000166,337,11/22/2025,Technical, High ,16.2,4.0,pending
TCK-000167,564,"Jan 14, 2025",Account,Low ,7.0,1.0, Resolved
TCK-000168,142,06-07-2025,feature request,Medium ,22.8,,Pending 
TCK-000169,806,10/05/2025,Billing , High,4.7,, Open 
TCK-000170,1117,14 Dec 2025,security,Low ,8.5,3.0,Pending 
TCK-000171,631,23 Sep 2025,Feature Request,CRITICAL,26.2,5.0,closed
TCK-000172,653,16 Jan 2025,Billing,High,22.5,2.0,resolved
TCK-000173,1191,2025-05-20,Account,LOW,15.8,4.0,Closed
TCK-000174,1403,22 Jan 2025,BILLING,Medium ,16.1,4.0,Resolved
TCK-000175,641,05/31/2025,SECURITY,Medium,6.7,,Closed 
TCK-000176,644,2025-01-18,Billing,Low ,24.5,5.0, Pending 
TCK-000177,527,10/21/2025, Technical,critical,2.4,2.0,PENDING
TCK-000178,1126,27-12-2025,Account , Medium,22.2,1.0, Resolved 
TCK-000179,685,02/24/2025,billing, High ,3.2,1.0,PENDING
TCK-000180,266,10/14/2025,Performance ,Critical,16.7,3.0, Resolved
TCK-000181,1061,"Mar 15, 2025", Technical,Low,30.9,4.0, Closed
TCK-000182,1165,24-03-2025,Billing ,Critical ,20.3,,CLOSED
TCK-000183,172,10-08-2025,Technical , High ,19.3,5.0,closed
TCK-000184,739,19 Oct 2025,performance,MEDIUM,8.8,4.0,PENDING
TCK-000185,1308,2025-03-26, Technical,Low,29.3,5.0,PENDING
TCK-000186,682,04-11-2025, Security ,Critical ,10.6,4.0,pending
TCK-000187,668,"Nov 23, 2025",FEATURE REQUEST, Critical ,3.0,1.0, Closed 
TCK-000188,79,10/21/2025,Performance, Medium,7.0,1.0,OPEN
TCK-000189,221,04-04-2025,feature request, Medium,9.6,5.0, Open 
TCK-000190,49,"Apr 14, 2025", Technical, High,36.1,2.0, Pending
TCK-000191,247,05 May 2025,Account,high,7.1,5.0, Resolved
TCK-000192,801,11/29/2025,security,low,30.3,1.0, Closed
TCK-000193,1327,03-01-2025, Account ,LOW,11.9,3.0,Closed
TCK-000194,1171,2025-07-25,SECURITY,MEDIUM,12.2,5.0,CLOSED
TCK-000195,316,"Nov 10, 2025",Feature Request,Low,23.6,5.0,OPEN
TCK-000196,300,11/04/2025, Security,Critical ,39.0,2.0,OPEN
TCK-000197,844,"Jun 02, 2025", Billing ,CRITICAL,11.5,,OPEN
TCK-000198,337,2025-04-03,Security,critical,9.8,5.0, Closed
TCK-000199,850,09/22/2025, Feature Request,Critical,3.4,1.0,Open
TCK-000200,494,2025-12-27, Performance,low,20.8,, Resolved
TCK-000201,1060,24 May 2025,technical,Medium,15.4,,Pending
TCK-000202,412,"Jun 29, 2025",Billing,high,5.1,3.0,CLOSED
TCK-000203,848,05/08/2025,Technical,High,8.3,2.0,Resolved
TCK-000204,555,"Aug 31, 2025",PERFORMANCE,LOW,8.5,3.0, Resolved
TCK-000205,653,05-01-2025, Feature Request , Low ,9.9,5.0,Open 
TCK-000206,1155,03 Jul 2025,Feature Request,critical,11.1,2.0, Pending
TCK-000207,782,02/20/2025,Billing , Low,9.3,5.0, Resolved
TCK-000208,1305,17 Sep 2025,Account, Low ,4.9,3.0, Open 
TCK-000209,610,07/01/2025, Security,low,8.7,,CLOSED
TCK-000210,746,"May 18, 2025",Performance ,critical,58.7,3.0, Closed 
TCK-000211,824,"Nov 09, 2025",Technical ,Medium ,12.3,2.0,OPEN
TCK-000212,800014,2025-11-06,PERFORMANCE,critical,30.3,4.0,Resolved
TCK-000213,456,29/10/2025,Technical , Critical ,32.4,4.0, Pending
TCK-000214,1145,19 Sep 2025, Performance, Low ,12.8,5.0,RESOLVED
TCK-000215,838,17-05-2025, Security ,MEDIUM,11.1,2.0,Open 
TCK-000216,1012,02 Jun 2025,FEATURE REQUEST, Critical,35.7,5.0,Resolved 
TCK-000217,567,27 Mar 2025,Technical, High ,12.3,5.0,RESOLVED
TCK-000218,590,2025-08-10, Performance,Low,4.6,,Resolved
TCK-000219,1217,2025-05-24,Account ,Medium,12.5,1.0,Open
TCK-000220,822,18/03/2025,SECURITY,High ,29.9,5.0,RESOLVED
TCK-000221,843,2025-02-17,Billing, Medium,10.7,, Open
TCK-000222,432,06-03-2025,Feature Request,High,23.1,4.0,Pending 
TCK-000223,326,"Jul 13, 2025",ACCOUNT,low,11.1,3.0,closed
TCK-000224,684,"Dec 25, 2025",Feature Request ,medium,7.0,5.0, Open
TCK-000225,700,"Jan 02, 2025",feature request,low,16.7,1.0, Open
TCK-000226,845,31/12/2025, Billing , Medium,8.1,1.0,Open 
TCK-000227,988,09-07-2025, Performance,medium,71.1,, Open
TCK-000228,1054,17-02-2025, Account ,critical,17.0,4.0, Resolved 
TCK-000229,555,08/02/2025,Performance ,critical,49.2,5.0,Closed
TCK-000230,342,"Jul 22, 2025",billing,medium,1.6,2.0, Closed
TCK-000231,1167,01/30/2025, Feature Request, Medium,24.7,3.0,OPEN
TCK-000232,438,02/13/2025, Technical,HIGH,9.2,, Pending
TCK-000233,1237,"Aug 03, 2025",PERFORMANCE, Medium,17.0,,closed
TCK-000234,815,2025-07-06,Technical , Critical ,4.2,,open
TCK-000235,1142,08/30/2025, Technical ,low,24.6,, Pending
TCK-000236,1364,"Jun 09, 2025",SECURITY,CRITICAL,5.0,2.0,resolved
TCK-000237,443,05/01/2025, Technical ,Critical,4.8,2.0,Resolved
TCK-000238,1473,"Nov 26, 2025",Account,LOW,12.9,5.0, Pending
TCK-000239,1243,16 Feb 2025,billing,Critical ,2.8,4.0, Open 
TCK-000240,1047,08/03/2025, Performance,Low ,7.0,2.0,Pending 
TCK-000241,1171,"Apr 01, 2025",PERFORMANCE,critical,17.6,3.0,Resolved
TCK-000242,761,07/11/2025,feature request,medium,33.3,5.0,resolved
TCK-000243,904,26 Mar 2025, Technical, Critical,15.3,2.0,Closed
TCK-000244,1471,"Jun 20, 2025",TECHNICAL, High,8.1,1.0,Pending 
TCK-000245,282,2025-03-04,performance,Medium,1.5,3.0,OPEN
TCK-000246,1055,07/10/2025,Technical,MEDIUM,0.0,3.0,open
TCK-000247,383,23-05-2025,PERFORMANCE,Medium,2.2,, Closed 
TCK-000248,134,17-07-2025, Billing ,medium,5.2,3.0, Pending
TCK-000249,681,18-04-2025,Performance, High,7.9,,Closed 
TCK-000250,395,13-09-2025,billing,Low,11.4,3.0,Resolved 
TCK-000251,1240,29-08-2025,TECHNICAL, Low,16.1,2.0,PENDING
TCK-000252,601,02/05/2025,TECHNICAL,HIGH,11.5,4.0,Closed
TCK-000253,1445,01 Jan 2025,Feature Request ,critical,29.9,1.0, Open
TCK-000254,270,27 Mar 2025,Technical,LOW,7.1,1.0, Resolved 
TCK-000255,140,"Dec 30, 2025",feature request,MEDIUM,18.1,2.0,Pending
TCK-000256,1345,17 Mar 2025,Account,Low,15.1,5.0, Pending 
TCK-000257,1302,22-02-2025, Technical,Low,27.9,1.0,Pending
TCK-000258,1144,"Jun 14, 2025",SECURITY, High,34.6,2.0,Closed 
TCK-000259,789,2025-07-10,feature request, Medium ,2.8,2.0,Resolved
TCK-000260,753,26 Jul 2025,Technical,high,4.7,2.0, Open
TCK-000261,594,16 Apr 2025,account,low,39.6,5.0,Closed
TCK-000262,17,11/03/2025, Feature Request , Medium,1.1,5.0,Pending
TCK-000263,402,08/08/2025,technical, Medium ,24.5,5.0, Closed
TCK-000264,26,16-09-2025,feature request, Critical ,9.6,1.0,Open
TCK-000265,1242,17-01-2025,account,CRITICAL,1.8,5.0,Open 
TCK-000266,1304,2025-05-11,account,Critical ,9.7,3.0, Open
TCK-000267,858,04/10/2025,Security , Critical,18.4,2.0, Pending
TCK-000268,1014,03/16/2025,account, Critical ,7.7,2.0,Open 
TCK-000269,293,31/01/2025,technical, Low,10.6,3.0,resolved
TCK-000270,246,07/24/2025,BILLING,LOW,26.9,4.0,resolved
TCK-000271,341,10/01/2025, Security, Low ,6.6,3.0,Pending
TCK-000272,1112,"Sep 08, 2025",Feature Request ,HIGH,22.7,,Closed 
TCK-000273,825,16-10-2025,Technical , High,19.3,1.0, Pending 
TCK-000274,768,"Aug 24, 2025", Billing, Critical ,33.4,3.0, Pending 
TCK-000275,1299,08/19/2025, Security, High ,20.5,3.0, Resolved 
TCK-000276,253,09 Jul 2025,Billing,High ,19.4,,OPEN
TCK-000277,1199,01/24/2025,Feature Request ,Low,10.7,4.0,resolved
TCK-000278,1,12/08/2025,Account ,Medium ,30.8,4.0, Closed
TCK-000279,995,"Jan 19, 2025", Performance,critical,30.9,, Closed
TCK-000280,996,12/08/2025, Account , Low ,11.1,3.0,Resolved
TCK-000281,269,18/10/2025,Billing ,critical,16.1,5.0, Pending 
TCK-000282,530,11/03/2025,feature request,Low ,14.7,, Closed
TCK-000283,239,11/17/2025,technical, High ,23.7,, Closed 
TCK-000284,688,17 Jun 2025,Security,LOW,13.9,,Pending
TCK-000285,282,09/10/2025, Technical, Critical ,6.8,4.0,CLOSED
TCK-000286,271,26/12/2025, Performance,medium,19.8,3.0,Pending 
TCK-000287,549,10/02/2025,Technical ,High,6.9,2.0,Pending 
TCK-000288,1205,17/08/2025,technical,High,10.9,2.0,PENDING
TCK-000289,1372,2025-03-22,Security ,medium,16.5,1.0, Pending 
TCK-000290,197,03/09/2025,Feature Request, Critical ,9.9,2.0, Closed
TCK-000291,69,01 Nov 2025,TECHNICAL,LOW,0.2,4.0, Closed
TCK-000292,890,07-11-2025,Performance , High,14.4,5.0, Pending 
TCK-000293,401,2025-11-03, Performance ,low,6.1,1.0,OPEN
TCK-000294,245,04-03-2025,PERFORMANCE, High ,8.5,5.0,open
TCK-000295,978,15/07/2025, Feature Request ,critical,1.7,2.0,closed
TCK-000296,1315,02/23/2025, Feature Request,Medium ,22.2,1.0, Pending 
TCK-000297,1382,29 Oct 2025, Billing ,HIGH,5.1,3.0,Open 
TCK-000298,542,01/06/2025,Performance ,High,11.6,2.0, Open 
TCK-000299,1321,05 Apr 2025,Security , Medium ,28.7,,Resolved
TCK-000300,301,03-04-2025, Account,medium,0.0,3.0,Closed
TCK-000301,1461,28 Dec 2025, Billing,medium,1.9,5.0, Resolved 
TCK-000302,155,23 Feb 2025,Performance, Medium ,12.3,5.0,PENDING
TCK-000303,459,11/01/2025,Performance,MEDIUM,22.7,,Resolved 
TCK-000304,379,07/04/2025,Performance ,LOW,2.6,4.0, Open 
TCK-000305,897,04/10/2025, Technical ,medium,26.0,,Open 
TCK-000306,1494,"May 17, 2025",Account ,MEDIUM,16.3,, Closed 
TCK-000307,517,16 Mar 2025, Technical , Medium ,9.3,3.0,OPEN
TCK-000308,901,21 Jan 2025, Billing ,High ,7.5,,Closed
TCK-000309,143,2025-12-29, Performance, Medium ,35.2,5.0, Resolved
TCK-000310,1368,"Nov 15, 2025",security,low,11.4,5.0, Closed
TCK-000311,1405,22 Aug 2025, Account,Critical,9.9,1.0,CLOSED
TCK-000312,120,"Jun 29, 2025", Technical ,high,24.4,2.0, Resolved 
TCK-000313,1312,2025-02-25,technical,Critical ,7.1,1.0, Closed 
TCK-000314,682,2025-03-06, Account ,medium,22.8,, Open 
TCK-000315,186,2025-05-07, Feature Request ,Critical ,12.9,1.0,OPEN
TCK-000316,1326,03 May 2025,Feature Request, Critical ,18.6,2.0,Resolved
TCK-000317,197,12 Nov 2025, Technical, Low,17.3,1.0,Pending
TCK-000318,1132,17 Aug 2025, Performance,critical,23.3,3.0,RESOLVED
TCK-000319,598,12 Sep 2025,feature request,medium,31.6,, Open 
TCK-000320,601,11 Nov 2025, Performance,Medium,1.3,2.0,Pending 
TCK-000321,38,13 Jul 2025,Feature Request, Medium ,57.6,2.0,Closed
TCK-000322,590,20-01-2025,Billing, Low,10.5,1.0, Closed 
TCK-000323,1127,04/05/2025, Performance ,Low,6.3,3.0,Closed 
TCK-000324,20,03/20/2025,Performance ,medium,13.3,,Closed 
TCK-000325,800,"May 03, 2025",Security , Medium,13.1,3.0,Closed
TCK-000326,956,19-11-2025,feature request, Medium ,56.2,3.0,Open
TCK-000327,1134,04-01-2025, Technical,high,13.8,3.0, Pending 
TCK-000328,885,03/07/2025,BILLING, High ,14.2,5.0, Pending
TCK-000329,479,24/03/2025,Account , High,2.4,1.0,open
TCK-000330,1232,02 Jun 2025,ACCOUNT, Medium,5.1,1.0,Pending 
TCK-000331,180,2025-08-01, Performance,medium,21.7,5.0,pending
TCK-000332,382,13-05-2025, Technical,high,16.5,2.0,Resolved 
TCK-000333,1421,01-10-2025, Billing , Low,9.7,2.0,Closed
TCK-000334,115,18-11-2025, Feature Request, Low,5.4,2.0,Resolved
TCK-000335,694,23/03/2025, Performance , Low ,13.5,4.0, Closed 
TCK-000336,1093,22 Sep 2025,Feature Request ,Critical,7.9,1.0,Open 
TCK-000337,1074,22 Feb 2025,Technical ,MEDIUM,12.3,1.0, Open 
TCK-000338,510,"Dec 07, 2025", Billing , High,3.9,1.0,OPEN
TCK-000339,9,2025-01-18, Billing ,MEDIUM,9.8,4.0,RESOLVED
TCK-000340,1124,10/20/2025,Security, High,12.8,5.0,Pending 
TCK-000341,765,10-02-2025, Technical, Medium ,3.3,,Open 
TCK-000342,268,2025-09-22, Billing ,High,23.6,4.0,Closed
TCK-000343,747,04/27/2025,Technical,Critical,8.0,5.0,Pending
TCK-000344,1057,"Aug 24, 2025", Feature Request ,high,13.4,4.0,PENDING
TCK-000345,356,13-05-2025, Account , High ,18.0,4.0,Resolved
TCK-000346,1441,2025-09-08,Billing,CRITICAL,8.2,3.0,closed
TCK-000347,1082,"Mar 14, 2025",Technical ,Medium ,15.0,2.0,Closed
TCK-000348,1056,11-04-2025, Technical,Medium,41.1,2.0, Open
TCK-000349,864,"Oct 26, 2025",Security ,HIGH,11.1,2.0,OPEN
TCK-000350,190,2025-11-23, Performance ,Medium ,15.0,1.0,Resolved 
TCK-000351,778,2025-12-26, Billing,HIGH,10.1,3.0,OPEN
TCK-000352,1439,02 Mar 2025,Billing , Medium ,4.3,,OPEN
TCK-000353,1239,01/23/2025,FEATURE REQUEST,Critical,17.1,2.0,resolved
TCK-000354,149,03/06/2025, Performance, Medium,21.2,2.0, Closed 
TCK-000355,979,02-10-2025,Billing,High ,26.1,4.0,Open
TCK-000356,677,2025-02-06,security,medium,6.2,2.0,Pending
TCK-000357,1043,2025-08-15, Performance ,CRITICAL,24.3,1.0, Closed
TCK-000358,1317,"Nov 28, 2025",feature request,MEDIUM,11.6,4.0,Resolved
TCK-000359,91,04/03/2025, Feature Request ,low,16.7,5.0,Closed 
TCK-000360,969,01/01/2025, Account,High,23.5,,CLOSED
TCK-000361,805,2025-08-14,BILLING,MEDIUM,7.4,,Open 
TCK-000362,33,2025-01-27, Billing ,critical,9.3,2.0,closed
TCK-000363,512,25/04/2025,TECHNICAL,low,27.1,,resolved
TCK-000364,553,12/07/2025,PERFORMANCE,Medium ,1.9,5.0,pending
TCK-000365,55,2025-06-23,Security,critical,6.4,,resolved
TCK-000366,895,10/06/2025,security, High,9.0,5.0,resolved
TCK-000367,823,15/09/2025,billing,low,22.5,5.0,Resolved
TCK-000368,255,10/26/2025,PERFORMANCE,Low ,14.4,2.0, Resolved
