subscription_id,user_id,plan,billing_cycle,start_date,end_date,monthly_fee,discount,status
SUB-000030,174, Business,monthly,07 Feb 2025,,295.36 USD,, Active 
SUB-000031,1066,BUSINESS, Annual,29/09/2025,"Aug 24, 2026",$295,20.0%, Paused
SUB-000032,871,starter, Quarterly ,2025-05-23,,48.10 USD,20 %,ACTIVE
SUB-000033,770,Business,quarterly,16 Feb 2025,21 May 2025,$287,0%,Expired 
SUB-000034,982,Professional ,annual,"Oct 25, 2025",21/12/2025,156.78 USD,,Cancelled
SUB-000035,1042,Business,ANNUAL,"Feb 07, 2025",,$336,20%,ACTIVE
SUB-000036,535,starter,monthly,02/04/2025,,USD 47.86,15%,Active 
SUB-000037,303, Professional ,MONTHLY,05-08-2025,15/10/2025,USD 141.05, 20% ,CANCELLED
SUB-000038,62,Free,MONTHLY,14/01/2025,28 Feb 2025,USD 0.00,0%,Cancelled
SUB-000039,1409,STARTER,Monthly,13 Aug 2025,09 Aug 2026,$53,20%, Cancelled 
SUB-000040,307,ENTERPRISE,QUARTERLY,07/14/2025,09/07/2026,error,20.0%,Cancelled 
SUB-000041,1369,professional,quarterly,05/28/2025,,$140,0%,ACTIVE
SUB-000042,778,Professional ,Annual,2025-08-11,,USD 139.47, 0% ,active
SUB-000043,774,STARTER,Quarterly ,15/02/2025,,50.73,20 %,Active 
SUB-000044,252,STARTER, Monthly ,2025-05-18,,51.63, 10% ,active
SUB-000045,1182, Professional,monthly,10/10/2025,06-12-2025,$152,15 %,Cancelled 
SUB-000046,728,business,Monthly,2025-11-16,03/20/2026,$313.87,20%, Cancelled
SUB-000047,518, Business , Monthly ,10/12/2025,24 Mar 2026,282.58 USD,0 %, Paused
SUB-000048,510, Professional,QUARTERLY,07/04/2025,,151.97 USD,0%,active
SUB-000049,1427, Professional , Annual ,01 Jun 2025,19 Apr 2026,158.61,20 %,CANCELLED
SUB-000050,325, Free,quarterly,2025-03-08,,0.00, 20% ,Active
SUB-000051,947,BUSINESS,QUARTERLY,05/30/2025,2025-09-17,319.89 USD,15 %,paused
SUB-000052,1477, Professional ,Quarterly,06 Oct 2025,2026-02-11,150.91,10 %,CANCELLED
SUB-000053,843,Business ,Quarterly,20/09/2025,,USD 294.04,20%,ACTIVE
SUB-000054,495,PROFESSIONAL, Annual ,23/09/2025,,145.41,10%, Active 
SUB-000055,1410,starter,quarterly,18/12/2025,,49.13 USD, 10% ,active
SUB-000056,1078,starter,Quarterly,2025-12-29,,$44.38,5 %,Active 
SUB-000057,956,business,Monthly ,2025-10-06,,USD 319.07,5.0%, Active
SUB-000058,444,Starter, Annual ,2025-06-15,2026-02-08,$54,0 %,PAUSED
SUB-000059,798,Free,annual,28/07/2025,2025-08-31,$0.00,20%,CANCELLED
SUB-000060,850,starter, Monthly ,02-11-2025,,44.66,0 %, Active 
SUB-000061,1440, Professional , Annual,2025-05-26,"Aug 25, 2025",USD 170.86,20.0%, Expired
SUB-000062,754,Professional ,Quarterly,2025-03-10,"Sep 15, 2025",USD 143.92, 0% ,Expired
SUB-000063,1105,Starter,Monthly ,23/07/2025,,45.65,10.0%,active
SUB-000064,1481,Starter,monthly,07-11-2025,,48.63, 5% ,ACTIVE
SUB-000065,857,Free ,Quarterly ,19-01-2025,25 Apr 2025,$0.00, 10% , Cancelled 
SUB-000066,44, Business, Quarterly,02 May 2025,,$291.07,15%,Active
SUB-000067,264,professional,MONTHLY,22-01-2025,14-11-2025,$156,0%,Paused
SUB-000068,792,Starter,quarterly,07/02/2025,,49.19, 5% ,ACTIVE
SUB-000069,107,Business, Annual,09 Oct 2025,,277.90,20 %,Active 
SUB-000070,1320, Enterprise ,Annual,2025-04-18,13/10/2025,785.07,10%,Paused 
SUB-000071,917, Business ,Quarterly ,02/06/2025,,323.28,20%,active
SUB-000072,479, Professional, Annual ,05 Mar 2025,,$156.90,10%,Active 
SUB-000073,755,ENTERPRISE,Annual ,29/12/2025,,$743.03,10 %,ACTIVE
SUB-000074,1194, Business,Quarterly ,"Nov 03, 2025",19-10-2026,USD 281.31, 20% ,Cancelled 
SUB-000075,1315,Professional ,ANNUAL,13/12/2025,"Feb 26, 2026",157.97,15 %, Cancelled 
SUB-000076,1165,Starter ,QUARTERLY,"Oct 17, 2025",,$54,0.0%,active
SUB-000077,390,Starter ,Monthly ,2025-05-31,22-01-2026,$48,15%,Cancelled 
SUB-000078,969,Starter, Annual ,02-03-2025,,51.39 USD,15.0%,ACTIVE
SUB-000079,1151,ENTERPRISE, Annual ,27 Apr 2025,,$753, 5% , Active 
SUB-000080,500,BUSINESS,Annual,03/12/2025,19-04-2025,USD 292.38,20%,cancelled
SUB-000081,1424, Professional,Quarterly ,06/24/2025,,$135,5.0%, Active
SUB-000082,1354, Starter, Annual ,2025-07-15,,53.51 USD,10%,Active 
SUB-000083,987,Business ,MONTHLY,"Dec 11, 2025",04/17/2026,$299.08, 5% ,expired
SUB-000084,547,Professional ,MONTHLY,04 May 2025,,$164.50,10%,active
SUB-000085,980,Business , Monthly,04-01-2025,2025-09-13,$322.05,20%, Cancelled
SUB-000086,1032,STARTER,Monthly,2025-12-09,,$54.25,,Active 
SUB-000087,115,Professional, Quarterly ,02/11/2025,,error,20 %, Active
SUB-000088,363, Business, Annual ,11/04/2025,2026-04-04,USD 282.94, 15% ,expired
SUB-000089,1306,STARTER, Monthly,11/09/2025,,$56.01,20 %,active
SUB-000090,1487,PROFESSIONAL,Quarterly,"Dec 10, 2025",,$160.82,5 %, Active 
SUB-000091,1281,Business,QUARTERLY,2025-01-25,29-12-2025,$331, 20% ,Paused
SUB-000092,400,STARTER,QUARTERLY,29 Apr 2025,,44.26 USD,5.0%,ACTIVE
SUB-000093,822,starter, Annual ,2025-02-10,,$48.44,5.0%,Active
SUB-000094,778, Starter, Quarterly,"May 02, 2025","Aug 07, 2025",53.20,10 %,Expired
SUB-000095,390,STARTER,Monthly ,2025-12-08,,USD 45.06,10.0%,Active 
SUB-000096,662, Free,QUARTERLY,05/31/2025,,$0.00,0.0%, Active
SUB-000097,420,professional, Monthly,23 Jul 2025,,150.08,0.0%,active
SUB-000098,154,Free ,Monthly ,24/11/2025,,$0.00,15.0%,ACTIVE
SUB-000099,1064, Enterprise , Quarterly,29 Mar 2025,,USD 766.24,10 %,active
SUB-000100,873,Business ,monthly,"Oct 04, 2025",,USD 290.39, 0% , Active
SUB-000101,60, Starter ,Annual ,"Aug 19, 2025",28 May 2026,USD 45.47,0 %, Paused
SUB-000102,1395, Enterprise, Monthly,21/08/2025,,845.25,0.0%,Active
SUB-000103,748,business,quarterly,04 Oct 2025,,287.22, 5% , Active 
SUB-000104,327,FREE,Quarterly ,14-12-2025,2026-01-20,USD 0.00, 10% , Expired
SUB-000105,1167,Starter ,monthly,09/25/2025,"Dec 01, 2025",55.10,5 %,Cancelled 
SUB-000106,81,Professional ,Annual ,"Dec 16, 2025",,151.50,15%,active
SUB-000107,260, Business ,Monthly ,19-06-2025,13 Nov 2025,$298, 20% ,Cancelled 
SUB-000108,598,Professional ,Quarterly ,07 Nov 2025,,$161.06,20%,ACTIVE
SUB-000109,711, Professional , Annual ,17-09-2025,,$167.98, 0% ,active
SUB-000110,482,Business , Quarterly ,18/08/2025,,$270.97,5 %,ACTIVE
SUB-000111,780,Business ,Annual ,02-02-2025,12-11-2025,$303,15.0%,Cancelled 
SUB-000112,1177,ENTERPRISE,Annual ,"Sep 12, 2025",17/12/2025,841.10,5%, Cancelled 
SUB-000113,1090, Starter , Annual ,01/01/2025,,48.00,5%, Active 
SUB-000114,552, Business ,Annual ,07/04/2025,14 Feb 2026,326.84,15%,Cancelled
SUB-000115,1379,STARTER,QUARTERLY,10/05/2025,,56.00 USD,10 %, Active
SUB-000116,1216,professional, Monthly ,30/06/2025,27 Dec 2025,169.24 USD, 20% , Expired
SUB-000117,456,BUSINESS, Monthly,07/10/2025,12/28/2025,$288.98, 20% ,paused
SUB-000118,1092, Business,annual,"Sep 05, 2025",,286.02 USD,10 %,Active 
SUB-000119,454,Business,monthly,"Jun 25, 2025",,$340.67,10 %,ACTIVE
SUB-000120,750,Free ,ANNUAL,2025-09-08,,$0, 15% , Active
SUB-000121,1393, Starter ,Quarterly ,2025-04-25,,USD 46.65,10%,Active
SUB-000122,986,Professional ,monthly,01/25/2025,,$160.44,10%,ACTIVE
SUB-000123,431,PROFESSIONAL,MONTHLY,16/06/2025,,$144.69,0.0%, Active 
SUB-000124,356,Professional,monthly,03-08-2025,,144.05, 20% ,Active
SUB-000125,33,Enterprise,Quarterly,03/18/2025,09/09/2025,894.73,0 %,Cancelled 
SUB-000126,1084,Enterprise ,Monthly,"Dec 23, 2025",,USD 751.56,15.0%, Active
SUB-000127,14,STARTER, Monthly,01/05/2025,12/03/2026,44.89,20 %, Expired
SUB-000128,120,Enterprise , Annual,09/17/2025,,772.87,15.0%,active
SUB-000129,1010, Business ,ANNUAL,22 Jun 2025,"Apr 25, 2026",314.47, 10% ,PAUSED
SUB-000130,1460,Business ,Quarterly,2025-04-02,,USD 278.30,10 %,ACTIVE
SUB-000131,53,STARTER, Monthly ,21/01/2025,,$50,10.0%,Active
SUB-000132,485,Starter,MONTHLY,06/16/2025,30-10-2025,$51.78,0.0%, Expired 
SUB-000133,1297,PROFESSIONAL,Annual ,"Apr 04, 2025","Oct 06, 2025",165.72,10 %,Cancelled 
SUB-000134,1270, Enterprise, Quarterly,15 Mar 2025,,765.02, 5% , Active 
SUB-000135,847, Starter , Monthly ,08/03/2025,,54.11, 20% ,active
SUB-000136,143, Professional ,monthly,29/12/2025,,$142.85,0.0%,active
SUB-000137,1243,Starter,Annual,04-01-2025,,USD 52.39,20%,Active
SUB-000138,1065, Starter,QUARTERLY,2025-09-08,,$49,20.0%, Active
SUB-000139,828,PROFESSIONAL, Monthly,07-12-2025,,138.37, 5% , Active 
SUB-000140,744,Professional ,Quarterly,09/05/2025,,160.71 USD,5%,Active 
SUB-000141,1372, Business,Quarterly,"Dec 03, 2025",,285.38 USD,0 %,Active
SUB-000142,1322, Professional , Monthly ,23/08/2025,"May 06, 2026",USD 140.68,5.0%,Cancelled
SUB-000143,668, Starter , Monthly,23/10/2025,2026-03-11,USD 48.49,20 %,PAUSED
SUB-000144,1347,Business ,monthly,24/11/2025,,317.93 USD, 20% , Active 
SUB-000145,745,BUSINESS,Monthly ,10/23/2025,03/06/2026,286.59,, Expired
SUB-000146,1485,PROFESSIONAL,annual,2025-09-10,,$141, 15% ,ACTIVE
SUB-000147,520, Professional,Quarterly ,"Nov 09, 2025",11-03-2026,$134.47,0.0%,Cancelled 
SUB-000148,358, Professional,Monthly ,29-01-2025,,USD 151.67,20%,active
SUB-000149,1005,Business ,quarterly,12/03/2025,,301.14 USD,20%, Active 
SUB-000150,202,starter,quarterly,2025-07-23,2026-05-29,46.96,0 %,Cancelled 
SUB-000151,1405, Business,ANNUAL,15 Sep 2025,,273.11 USD, 20% , Active 
SUB-000152,1054,Professional,monthly,2025-11-23,,150.09, 0% ,active
SUB-000153,795,Professional,ANNUAL,21/10/2025,,163.46 USD,15%,Active
SUB-000154,306,PROFESSIONAL,monthly,28-10-2025,01/13/2026,USD 160.74,0.0%,Cancelled
SUB-000155,1254,Business,monthly,23 Oct 2025,,$333,15 %,Active
SUB-000156,1247, Enterprise ,monthly,2025-07-23,,721.01 USD,5.0%,Active
SUB-000157,1407,Enterprise,Quarterly,"Jul 29, 2025",,USD 912.14,5%,Active
SUB-000158,231,Professional , Monthly ,2025-03-08,07-06-2025,146.82 USD, 0% , Paused 
SUB-000159,1084,BUSINESS,Monthly ,12/04/2025,30-05-2025,343.13,,paused
SUB-000160,1099,Free,monthly,08/22/2025,14/06/2026,$0.00,10%,CANCELLED
SUB-000161,47,BUSINESS,Annual,"Jul 22, 2025",,USD 304.35, 5% ,active
SUB-000162,308,professional, Quarterly ,03/07/2025,,147.28,,Active
SUB-000163,1342,free, Monthly ,"Dec 08, 2025",,0.00,,Active
SUB-000164,469,ENTERPRISE,Monthly ,03/14/2025,,$887, 15% , Active
SUB-000165,629, Business ,monthly,2025-04-19,26/06/2025,324.89,10%, Expired
SUB-000166,253,PROFESSIONAL,Monthly,03/09/2025,,$171,15%, Active
SUB-000167,1473,Business, Monthly,09/08/2025,,314.96 USD,20.0%,ACTIVE
SUB-000168,1088, Professional , Monthly ,25 Jun 2025,,$151.36,5.0%, Active 
SUB-000169,1455,Business ,MONTHLY,08-05-2025,,275.83,0 %,ACTIVE
SUB-000170,867,Business , Quarterly ,11/15/2025,,343.59, 15% , Active
SUB-000171,354, Enterprise, Quarterly,2025-09-03,2026-02-08,$829.27,5%,Expired
SUB-000172,1054,starter,Monthly,14-01-2025,23-11-2025,52.68,15%, Expired
SUB-000173,332, Professional , Monthly ,10/06/2025,,149.25,0%,active
SUB-000174,1214,Free,annual,"Feb 25, 2025",2025-11-19,0.00,0 %,Paused
SUB-000175,505,FREE,ANNUAL,"Apr 28, 2025",,0.00,0 %,ACTIVE
SUB-000176,409,Business , Monthly,28/02/2025,04/07/2025,$282, 0% , Cancelled
SUB-000177,873,Business,Annual ,2025-05-10,,290.95,5.0%, Active 
SUB-000178,411, Professional,monthly,2025-08-14,04/02/2026,$140,15%,Paused 
SUB-000179,493,BUSINESS, Annual,01-09-2025,,328.32,0%,ACTIVE
SUB-000180,677,Professional , Monthly,04 Feb 2025,20-10-2025,$136.41, 0% ,Cancelled
SUB-000181,41,Business, Quarterly ,"Oct 27, 2025",,USD 275.20, 20% ,Active 
SUB-000182,7,Starter,ANNUAL,"Dec 29, 2025",,$48,5%,Active 
SUB-000183,610,Professional , Annual,12 Sep 2025,18/08/2026,USD 153.25,15%,paused
SUB-000184,949,Professional , Annual ,03/03/2025,2026-02-04,149.23,15 %,Expired
SUB-000185,305,STARTER,quarterly,26/01/2025,,44.65 USD, 20% , Active
SUB-000186,375,Starter ,Annual ,2025-09-21,"Mar 18, 2026",55.83,20%,Cancelled
SUB-000187,1458,business, Quarterly,2025-03-26,"May 08, 2025",340.33,5.0%,Expired
SUB-000188,183, Professional , Monthly ,12/05/2025,2026-11-22,$145,0%,cancelled
SUB-000189,757,Professional , Annual,20/10/2025,,$161.35,20%, Active
SUB-000190,46, Business ,Annual ,2025-09-15,,$312.35,10 %,ACTIVE
SUB-000191,623,Professional ,Monthly ,03 Mar 2025,,142.95 USD,10 %,Active 
SUB-000192,766,PROFESSIONAL,Monthly ,2025-10-04,,143.87,0 %,ACTIVE
SUB-000193,970,PROFESSIONAL,Monthly ,07-04-2025,,$152.40,0%,active
SUB-000194,1047,Business , Annual ,30-10-2025,,$300,, Active
SUB-000195,1488,Business,ANNUAL,2025-12-10,"Nov 30, 2026",290.87,15.0%, Paused 
SUB-000196,242, Starter,Monthly,25-10-2025,,$54,10.0%,active
SUB-000197,999, Starter , Annual,10/11/2025,,$50.00,10 %,Active 
SUB-000198,1349,Professional , Quarterly,04 Apr 2025,,USD 158.49, 0% ,Active 
SUB-000199,771,PROFESSIONAL, Monthly,"May 16, 2025",06/28/2025,141.15 USD,15%, Paused
SUB-000200,24,STARTER,Quarterly ,22/02/2025,,USD 50.64,5 %,ACTIVE
SUB-000201,1112,Professional , Monthly,"Sep 15, 2025",28 Feb 2026,$146,5.0%,Paused 
SUB-000202,85,Business , Monthly,"May 13, 2025",,$308,, Active
SUB-000203,46,Professional,Monthly ,15 Feb 2025,,163.19 USD, 5% , Active 
SUB-000204,1229,professional, Monthly,15 Apr 2025,11-09-2025,$162.74, 0% ,cancelled
SUB-000205,510, Free,QUARTERLY,14 Jun 2025,,$0.00,0.0%,ACTIVE
SUB-000206,571,Business, Quarterly,03/16/2025,,USD 321.00,20%,active
SUB-000207,1428, Starter, Monthly ,18-10-2025,,USD 55.63,0%,Active 
SUB-000208,260, Business ,Annual,"Oct 03, 2025",,$316,20%, Active
SUB-000209,946,BUSINESS, Monthly,"Feb 19, 2025",,$280.19,15.0%,ACTIVE
SUB-000210,1275,Starter , Quarterly,"Nov 17, 2025",,USD 52.43,10.0%, Active 
SUB-000211,1192, Professional,Annual ,10/09/2025,,USD 138.01,20%,ACTIVE
SUB-000212,697,Professional ,quarterly,04 Dec 2025,,$167,0.0%,Active
SUB-000213,1408,BUSINESS,Quarterly,2025-05-07,28-06-2025,$307.72,15 %, Cancelled 
SUB-000214,1492,free, Annual,10/03/2025,23/05/2026,0.00,,Cancelled
SUB-000215,1055, Professional,Quarterly,2025-07-10,,$136.22, 15% ,active
SUB-000216,612, Professional, Annual,09 May 2025,,148.28,10 %, Active
SUB-000217,1019,PROFESSIONAL,QUARTERLY,12-08-2025,,167.74,0 %, Active
SUB-000218,697,PROFESSIONAL,monthly,20/10/2025,,$135,10%, Active
SUB-000219,268, Starter ,quarterly,13-05-2025,08/17/2025,USD 49.91, 15% ,Cancelled
SUB-000220,223,Professional,Quarterly,06 Nov 2025,,USD 168.79,5 %,active
SUB-000221,383, Starter, Monthly,31 May 2025,,USD 48.94,15 %,ACTIVE
SUB-000222,822,Starter,Quarterly,10/11/2025,,49.35,0%,Active
SUB-000223,763, Enterprise , Annual,2025-05-09,,$834.67,20%,Active
SUB-000224,972,professional,Quarterly,04/09/2025,"Dec 08, 2025",$151, 20% , Cancelled
SUB-000225,28,ENTERPRISE,quarterly,17 Aug 2025,,752.78,15%,active
SUB-000226,1496,starter, Monthly ,28-01-2025,,44.33,10.0%, Active
SUB-000227,709, Professional,Annual ,07/17/2025,09 Sep 2025,156.82 USD, 20% ,EXPIRED
SUB-000228,1053,STARTER,MONTHLY,03/05/2025,12/17/2025,$55.38,5%, Cancelled 
SUB-000229,880,STARTER, Annual ,08/07/2025,,45.40 USD,15%,Active
SUB-000230,287,Enterprise , Monthly ,18 Aug 2025,,761.24,20%, Active
SUB-000231,898, Enterprise , Quarterly ,16 Apr 2025,,USD 793.05,10.0%, Active
SUB-000232,348,Free, Annual,10/03/2025,,USD 0.00,5%, Active 
SUB-000233,1112,FREE,MONTHLY,07 Nov 2025,28 Dec 2025,0.00 USD,5%, Cancelled
SUB-000234,1247,ENTERPRISE,Monthly ,16/06/2025,09/28/2025,895.29 USD, 20% ,Cancelled
SUB-000235,74, Business , Annual,21-11-2025,25-01-2026,$273, 20% ,Cancelled 
SUB-000236,138, Business ,QUARTERLY,03/30/2025,,339.44,10 %,Active
SUB-000237,1089,Starter ,annual,05-07-2025,08 Jun 2026,$51,15%,Cancelled
SUB-000238,1315,Professional,annual,"Dec 09, 2025",,158.64, 20% ,Active 
SUB-000239,791,Business ,Annual ,24/10/2025,,USD 296.58,,ACTIVE
SUB-000240,645, Professional, Annual ,10/03/2025,08/27/2025,163.23,0.0%,Expired
SUB-000241,184,business,ANNUAL,04/10/2025,12/03/2026,$282,15.0%,Cancelled 
SUB-000242,921,starter,Monthly,02 May 2025,,USD 44.70,0 %,Active
SUB-000243,803,Enterprise ,Monthly ,2025-10-18,,USD 798.10,5.0%,active
SUB-000244,299,Starter,Monthly,2025-01-08,,USD 54.56,5 %, Active
SUB-000245,889, Professional ,Monthly ,16 Jan 2025,,162.22,20 %,Active
SUB-000246,23,PROFESSIONAL,Quarterly,07 Apr 2025,,153.36 USD, 0% ,ACTIVE
SUB-000247,1331, Starter,MONTHLY,29-10-2025,,$51,0.0%,active
SUB-000248,645,Starter,annual,11 Jun 2025,2025-07-28,45.69,0 %,expired
SUB-000249,8, Professional,Quarterly,06/18/2025,2026-01-28,USD 165.42,20%, Paused
SUB-000250,887,Enterprise,Annual,19 Jul 2025,,876.30, 0% ,ACTIVE
SUB-000251,178,Business ,ANNUAL,2025-04-26,09-01-2026,$318, 0% ,Paused 
SUB-000252,962,free, Annual,08-01-2025,,$0,20.0%,ACTIVE
SUB-000253,1135,starter, Annual,"Oct 18, 2025",,55.91,15%,Active 
SUB-000254,480,Professional, Annual,"Oct 12, 2025",,USD 166.84,20 %,Active 
SUB-000255,149, Professional,Quarterly,"Oct 30, 2025",,158.11,10 %,Active
SUB-000256,1420, Professional ,MONTHLY,12-01-2025,19 Sep 2025,$148,5.0%, Paused
SUB-000257,31,starter,Monthly,11-10-2025,05/17/2026,51.67, 20% ,Expired
SUB-000258,944, Professional,QUARTERLY,28-12-2025,,$156,5.0%,Active
SUB-000259,198,Professional , Annual ,"Oct 10, 2025",,148.79,0.0%, Active
SUB-000260,546,Starter ,Monthly,05-11-2025,2026-08-24,USD 47.86, 10% , Paused 
SUB-000261,1498,PROFESSIONAL, Monthly,2025-02-23,08/22/2025,149.26,,Expired
SUB-000262,1184, Starter ,Quarterly,2025-09-12,21 Oct 2025,51.13,20.0%, Expired 
SUB-000263,701,PROFESSIONAL, Monthly,24/08/2025,,$150,5.0%,Active 
SUB-000264,1252, Starter,Annual ,24 May 2025,,$47,0.0%,active
SUB-000265,1411,Starter, Quarterly,"May 04, 2025",,53.42,15%, Active
SUB-000266,135,Free,Quarterly,"Oct 15, 2025",,0.00,0%,Active 
SUB-000267,365, Business,Monthly,03 Dec 2025,,$274.16, 5% ,active
SUB-000268,903, Free,Annual,11-03-2025,,$0, 0% , Active 
SUB-000269,31,Free ,QUARTERLY,"May 12, 2025",24 Feb 2026,0.00, 0% ,paused
SUB-000270,1323,Starter ,Annual ,25/09/2025,,53.35, 20% ,active
SUB-000271,1219,Starter , Quarterly ,"Mar 01, 2025",,48.06 USD,0 %,active
SUB-000272,637,BUSINESS,MONTHLY,2025-04-20,07/06/2025,339.23,0 %,paused
SUB-000273,1403, Starter,QUARTERLY,"Jun 01, 2025",,45.04 USD, 10% ,active
SUB-000274,862, Professional , Quarterly,20-05-2025,08/07/2025,$170,15.0%, Paused 
SUB-000275,515,business,ANNUAL,15/09/2025,,287.47, 10% , Active
SUB-000276,283,PROFESSIONAL, Quarterly ,2025-06-21,,134.44, 15% , Active
SUB-000277,1270,Starter ,monthly,06 Jul 2025,2025-11-18,$49,5%,Paused 
SUB-000278,683, Enterprise ,Quarterly,24 Feb 2025,,$791,10%,active
SUB-000279,205,Enterprise , Monthly ,2025-08-25,11/11/2025,826.78, 15% , Cancelled 
SUB-000280,912,Professional, Monthly,18 Dec 2025,"Dec 07, 2026",163.78,5.0%,CANCELLED
SUB-000281,549,Professional, Monthly ,16/12/2025,,165.48 USD,0 %,ACTIVE
SUB-000282,1159, Professional ,Monthly,2025-01-06,,149.05,15%,ACTIVE
SUB-000283,440, Business, Monthly ,"Jun 27, 2025",12/06/2025,$301.23,20 %,PAUSED
SUB-000284,90, Enterprise,Quarterly ,"Feb 21, 2025",2025-05-28,748.70, 5% , Cancelled 
SUB-000285,58,ENTERPRISE, Annual ,"Feb 03, 2025",,728.60 USD, 15% , Active 
SUB-000286,25,starter,Annual,02/03/2025,,51.95,10%,Active 
SUB-000287,1253, Professional ,Quarterly ,2025-02-02,,136.50 USD, 10% ,Active 
SUB-000288,1263,BUSINESS, Annual ,"Jul 03, 2025",,323.95,5.0%,Active
SUB-000289,741,Professional ,Monthly ,2025-01-31,,USD 154.18,15%, Active
SUB-000290,1170, Professional , Annual,31-01-2025,,141.50,15%, Active 
SUB-000291,495, Enterprise ,annual,"May 17, 2025",10/05/2025,826.87, 5% ,cancelled
SUB-000292,43,FREE,QUARTERLY,2025-08-23,,0.00 USD,5.0%, Active 
SUB-000293,713,BUSINESS,MONTHLY,10/09/2025,,301.90,15.0%,ACTIVE
SUB-000294,217, Professional ,Quarterly ,05 Apr 2025,,163.88 USD,5.0%,active
SUB-000295,631,Starter ,Monthly,05 Feb 2025,,49.76,0%,ACTIVE
SUB-000296,501,free,Annual,12/10/2025,2026-03-20,$0.00,20 %, Paused
SUB-000297,910, Starter,MONTHLY,"Nov 12, 2025","Jun 01, 2026",$53,10 %,PAUSED
SUB-000298,1159, Business,MONTHLY,29/03/2025,,283.06,20%,active
SUB-000299,493,PROFESSIONAL,MONTHLY,"Jan 05, 2025",26/09/2025,$161.61, 5% , Expired
SUB-000300,949,Business,Annual,11/02/2025,,304.93 USD,15.0%, Active 
SUB-000301,1128, Free ,Monthly ,09 Aug 2025,28 Oct 2025,0.00 USD,5%,CANCELLED
SUB-000302,1075,Business ,Annual,21-10-2025,2026-05-26,$332.74,0 %,paused
SUB-000303,1097,PROFESSIONAL,Annual ,09 Oct 2025,,160.50,20 %,active
SUB-000304,1442,PROFESSIONAL,quarterly,12-10-2025,,$135,0.0%,Active
SUB-000305,1122, Enterprise,annual,"Mar 21, 2025",,778.26, 20% ,ACTIVE
SUB-000306,110,professional,Annual,2025-03-12,,166.54 USD,15.0%,Active 
SUB-000307,604,Professional,ANNUAL,2025-04-28,,134.78, 5% , Active
SUB-000308,571,Professional, Annual,03/09/2025,"Jun 03, 2025",$154,20.0%, Paused 
SUB-000309,21, Professional ,annual,2025-11-18,01/05/2026,USD 161.21,5.0%,cancelled
SUB-000310,269, Starter ,Quarterly,12/09/2025,,51.72,5.0%,Active
SUB-000311,268, Professional,quarterly,2025-06-21,27 Nov 2025,$162.43, 15% , Expired 
SUB-000312,1219,Starter ,Quarterly,"Aug 22, 2025",,$53,15.0%,active
SUB-000313,146, Professional , Annual ,24 Mar 2025,2025-11-21,159.88, 0% , Paused
