transaction_id,user_id,transaction_date,transaction_amount,payment_type,transaction_type,currency
Q4-TX-000049,785,21 Nov 2025,USD 103.82,PayPal,subscription,US Dollar
Q4-TX-000050,255,2025-10-10,334.01,DEBIT CARD, Add-on ,USD
Q4-TX-000051,867,"Dec 04, 2025",130.41, Debit Card,Upgrade ,US Dollar
Q4-TX-000052,685,12/04/2025,82.56 USD,PayPal, Add-on ,USD
Q4-TX-000053,1049,18 Dec 2025,$-212.29, PayPal ,Refund,USD
Q4-TX-000054,150,10/30/2025,62.84,PayPal,upgrade,USD
Q4-TX-000055,123,12/21/2025,56.29, Credit Card ,Upgrade ,USD
Q4-TX-000056,757,11 Oct 2025,$-109.16,credit card,REFUND,USD
Q4-TX-000057,1287,04 Nov 2025,155.62,Bank Transfer , Add-on,USD
Q4-TX-000058,575,12/09/2025,84.88 USD, PayPal,Subscription,USD
Q4-TX-000059,1236,19/10/2025,$107.76,debit card,upgrade,usd
Q4-TX-000060,167,11/12/2025,127.86 USD,credit card,Add-on,usd
Q4-TX-000061,352,26 Oct 2025,$-324,Debit Card ,Refund,US Dollar
Q4-TX-000062,932,29 Dec 2025,$202, Bank Transfer ,Add-on,USD
Q4-TX-000063,323,10/17/2025,109.38,debit card, Subscription ,US Dollar
Q4-TX-000064,1096,2025-12-01,-185.15, PayPal, Refund ,usd
Q4-TX-000065,801,02 Dec 2025,-128.09 USD,CREDIT CARD,REFUND,USD
Q4-TX-000066,216,11/04/2025,USD -126.41,Bank Transfer, Refund ,usd
Q4-TX-000067,1188,"Nov 20, 2025",USD -141.70,Credit Card, Refund,usd
Q4-TX-000068,357,2025-12-02,$533, PayPal , Upgrade,US Dollar
Q4-TX-000069,459,22-12-2025,$84.80, PayPal,subscription,USD
Q4-TX-000070,1177,10-11-2025,$252.84, PayPal ,ADD-ON,US Dollar
Q4-TX-000071,1028,27/11/2025,USD 173.43, Bank Transfer , Add-on ,USD
Q4-TX-000072,770,2025-11-24,$292,debit card,Upgrade,USD
Q4-TX-000073,509,11 Dec 2025,$-233,credit card,REFUND,USD
Q4-TX-000074,781,2025-12-11,$219,Debit Card, Subscription ,usd
Q4-TX-000075,1190,29-12-2025,USD -245.50, Bank Transfer,refund,usd
Q4-TX-000076,298,2025-11-28,175.45,debit card, Add-on,US Dollar
Q4-TX-000077,1249,21/11/2025,USD 339.38,BANK TRANSFER,add-on,US Dollar
Q4-TX-000078,253,22/12/2025,118.54 USD,Credit Card ,ADD-ON,US Dollar
Q4-TX-000079,880,"Nov 02, 2025",195.55, Bank Transfer,upgrade,usd
Q4-TX-000080,882,"Nov 24, 2025",83.54,Debit Card ,Subscription,usd
Q4-TX-000081,589,2025-11-06,311.47 USD, Debit Card ,ADD-ON,USD
Q4-TX-000082,1402,2025-11-14,$292,Bank Transfer ,UPGRADE,USD
Q4-TX-000083,303,11/10/2025,499.01,Bank Transfer ,Subscription,US Dollar
Q4-TX-000084,294,12-10-2025,344.23 USD, Bank Transfer ,upgrade,USD
Q4-TX-000085,434,31 Oct 2025,271.92,PayPal ,Upgrade ,USD
Q4-TX-000086,668,22-12-2025,309.20, Credit Card,upgrade,usd
Q4-TX-000087,476,21-10-2025,$45,Debit Card,Add-on ,usd
Q4-TX-000088,445,11/03/2025,$360,Bank Transfer , Upgrade ,usd
Q4-TX-000089,14,17 Oct 2025,USD -353.75,CREDIT CARD,refund,US Dollar
Q4-TX-000090,631,11/17/2025,-424.39, Credit Card, Refund,usd
Q4-TX-000091,41,"Dec 02, 2025",57.24 USD,PAYPAL,add-on,US Dollar
Q4-TX-000092,14,2025-12-26,252.15 USD,debit card,Upgrade ,USD
Q4-TX-000093,1306,"Dec 28, 2025",-195.00,DEBIT CARD,refund,USD
Q4-TX-000094,1012,"Dec 14, 2025",USD -166.93, Bank Transfer,Refund,USD
Q4-TX-000095,225,2025-11-13,$167.71,BANK TRANSFER, Subscription,USD
Q4-TX-000096,501,17/10/2025,$195,bank transfer, Subscription,usd
Q4-TX-000097,27,"Dec 03, 2025",276.84,PayPal ,ADD-ON,USD
Q4-TX-000098,295,10/21/2025,159.11 USD,Credit Card , Add-on,usd
Q4-TX-000099,460,08 Oct 2025,$176.79,Bank Transfer ,Add-on,USD
Q4-TX-000100,716,20 Dec 2025,USD 549.83,PAYPAL, Subscription ,USD
Q4-TX-000101,1382,12/20/2025,123.40,paypal,ADD-ON,usd
Q4-TX-000102,208,09/10/2025,$-72,DEBIT CARD, Refund ,US Dollar
Q4-TX-000103,1024,11/29/2025,$48, Bank Transfer, Upgrade,usd
Q4-TX-000104,596,"Nov 30, 2025",294.11 USD, Bank Transfer , Add-on,US Dollar
Q4-TX-000105,833,06 Oct 2025,113.53 USD, Debit Card, Upgrade,usd
Q4-TX-000106,639,2025-10-04,119.99,Debit Card , Subscription,US Dollar
Q4-TX-000107,711,2025-10-18,-600.87,PayPal, Refund ,US Dollar
Q4-TX-000108,332,2025-11-14,292.32,Bank Transfer,Subscription,usd
Q4-TX-000109,918,2025-11-09,$301,PayPal ,UPGRADE,US Dollar
Q4-TX-000110,602,07/12/2025,190.78, Bank Transfer ,UPGRADE,usd
Q4-TX-000111,588,12/16/2025,$-216.78,PAYPAL,Refund ,US Dollar
Q4-TX-000112,32,15-11-2025,-139.41 USD,PayPal,refund,USD
Q4-TX-000113,1095,02-11-2025,USD -241.29, PayPal , Refund,USD
Q4-TX-000114,827,2025-12-03,USD -184.66, PayPal, Refund ,USD
Q4-TX-000115,1482,07 Oct 2025,USD 325.23,Bank Transfer , Upgrade ,usd
Q4-TX-000116,110,2025-10-21,681.14,Debit Card , Add-on ,US Dollar
Q4-TX-000117,1243,13/10/2025,394.95 USD,paypal, Upgrade ,USD
Q4-TX-000118,986,06 Oct 2025,$145.89, Bank Transfer,Upgrade,usd
Q4-TX-000119,656,24-11-2025,$556,Debit Card , Upgrade,usd
Q4-TX-000120,291,20-11-2025,$162.35,Bank Transfer,ADD-ON,US Dollar
Q4-TX-000121,1236,17/10/2025,56.92 USD,DEBIT CARD, Upgrade ,usd
Q4-TX-000122,698,10/27/2025,-226.26,BANK TRANSFER, Refund ,usd
Q4-TX-000123,493,11/11/2025,USD -160.13, Credit Card, Refund ,US Dollar
Q4-TX-000124,257,22/11/2025,USD 68.24,credit card,Add-on,USD
Q4-TX-000125,18,2025-10-18,$239,bank transfer,Subscription,US Dollar
Q4-TX-000126,574,22-12-2025,USD 155.87, PayPal , Subscription,USD
Q4-TX-000127,783,24/12/2025,USD -709.45, Credit Card,Refund ,USD
Q4-TX-000128,401,"Dec 02, 2025",144.62,debit card,ADD-ON,USD
Q4-TX-000129,1139,20/10/2025,USD 199.33,PayPal,Add-on,USD
Q4-TX-000130,1169,30 Nov 2025,, Bank Transfer,ADD-ON,usd
Q4-TX-000131,1283,12 Oct 2025,$106, Bank Transfer,subscription,USD
Q4-TX-000132,209,2025-11-13,$442.95,Debit Card,Upgrade,usd
Q4-TX-000133,388,09 Nov 2025,385.66,PayPal, Upgrade ,US Dollar
Q4-TX-000134,900010,2025-12-07,313.49 USD,BANK TRANSFER, Upgrade ,USD
Q4-TX-000135,830,01-12-2025,USD 217.50, Debit Card, Upgrade ,USD
Q4-TX-000136,298,"Oct 22, 2025",$191, Credit Card , Add-on,USD
Q4-TX-000137,65,19/10/2025,385.60,DEBIT CARD,subscription,USD
Q4-TX-000138,1260,09 Nov 2025,$624,Debit Card,UPGRADE,USD
Q4-TX-000139,1177,25 Oct 2025,94.81, Credit Card, Add-on ,US Dollar
Q4-TX-000140,1055,10/31/2025,$187, Credit Card,upgrade,USD
Q4-TX-000141,1279,11 Nov 2025,378.98, Bank Transfer, Subscription,US Dollar
Q4-TX-000142,825,11/22/2025,-273.88,BANK TRANSFER, Refund ,US Dollar
Q4-TX-000143,88,2025-10-14,$200, Bank Transfer,Upgrade,US Dollar
Q4-TX-000144,576,11/08/2025,147.40,Debit Card ,add-on,usd
Q4-TX-000145,1458,10/30/2025,$-155.18,credit card,REFUND,usd
Q4-TX-000146,998,02/12/2025,-225.39, PayPal,refund,USD
Q4-TX-000147,679,16 Dec 2025,623.14,BANK TRANSFER, Upgrade ,US Dollar
Q4-TX-000148,97,03/11/2025,USD -122.00,PayPal,REFUND,US Dollar
Q4-TX-000149,114,11/09/2025,136.38 USD,PayPal,UPGRADE,USD
Q4-TX-000150,1191,25/10/2025,-174.85 USD,Credit Card,refund,USD
Q4-TX-000151,336,2025-11-12,543.80, PayPal,Upgrade,US Dollar
Q4-TX-000152,1071,2025-10-10,125.50,Bank Transfer , Subscription,usd
Q4-TX-000153,616,2025-11-23,$614.22, Bank Transfer,SUBSCRIPTION,US Dollar
Q4-TX-000154,333,06 Oct 2025,307.24,Credit Card,add-on,USD
Q4-TX-000155,1191,04/11/2025,$105,Bank Transfer, Subscription ,US Dollar
Q4-TX-000156,8,10/11/2025,$213,credit card, Subscription ,USD
Q4-TX-000157,1494,"Oct 28, 2025",-98.77,credit card,Refund,usd
Q4-TX-000158,354,"Dec 09, 2025",449.23, Debit Card ,add-on,US Dollar
Q4-TX-000159,1391,2025-12-11,96.55,bank transfer, Subscription,USD
Q4-TX-000160,277,10/01/2025,$-110.10, Debit Card , Refund ,US Dollar
Q4-TX-000161,1254,"Dec 02, 2025",$-360,Debit Card,Refund ,usd
Q4-TX-000162,1161,31-10-2025,$-219.63,bank transfer, Refund,US Dollar
Q4-TX-000163,823,05 Nov 2025,$214.85,DEBIT CARD, Add-on,USD
Q4-TX-000164,908,21-11-2025,131.89,PAYPAL,UPGRADE,USD
Q4-TX-000165,168,04/10/2025,$-191,bank transfer,Refund,US Dollar
Q4-TX-000166,978,08/10/2025,$760.45, Credit Card , Upgrade ,US Dollar
Q4-TX-000167,1257,01 Dec 2025,$-267.85,Credit Card ,Refund,USD
Q4-TX-000168,115,04/10/2025,$-91,PAYPAL, Refund ,USD
Q4-TX-000169,74,15/10/2025,USD 503.84, Debit Card ,ADD-ON,US Dollar
Q4-TX-000170,1019,"Dec 29, 2025",153.81,Bank Transfer , Subscription ,usd
Q4-TX-000171,898,13-11-2025,$536.78,bank transfer, Upgrade ,USD
Q4-TX-000172,342,2025-10-11,USD 235.46,Credit Card,Add-on,usd
Q4-TX-000173,1011,"Oct 24, 2025",$131.35,PayPal ,SUBSCRIPTION,usd
Q4-TX-000174,1454,2025-11-17,163.62,debit card,Subscription,usd
Q4-TX-000175,1087,04 Dec 2025,USD 279.22,PAYPAL, Upgrade,USD
Q4-TX-000176,481,10/15/2025,$-129, Credit Card ,Refund ,usd
Q4-TX-000177,1198,11/03/2025,299.49, Credit Card,Subscription,US Dollar
Q4-TX-000178,443,20-10-2025,$-601, PayPal , Refund,US Dollar
Q4-TX-000179,1112,"Dec 01, 2025",249.33 USD,Debit Card ,Add-on,US Dollar
Q4-TX-000180,1284,15/10/2025,,Bank Transfer, Upgrade ,USD
Q4-TX-000181,724,31 Dec 2025,$44.92,BANK TRANSFER,upgrade,usd
Q4-TX-000182,439,12/07/2025,$262,PayPal,Add-on ,US Dollar
Q4-TX-000183,723,2025-12-29,$-313,DEBIT CARD,Refund,usd
Q4-TX-000184,900002,2025-12-18,$170.83,paypal,SUBSCRIPTION,USD
Q4-TX-000185,873,12/29/2025,137.03, PayPal ,UPGRADE,US Dollar
Q4-TX-000186,190,13/10/2025,288.77,Debit Card , Upgrade,USD
Q4-TX-000187,1432,22 Nov 2025,253.13,Bank Transfer, Add-on ,usd
Q4-TX-000188,655,30 Nov 2025,$57.75, Bank Transfer,SUBSCRIPTION,usd
Q4-TX-000189,854,27/11/2025,USD -454.87,Credit Card ,Refund ,USD
Q4-TX-000190,1250,"Nov 30, 2025",281.00, Bank Transfer, Add-on,usd
Q4-TX-000191,120,"Oct 10, 2025",145.51,Debit Card , Upgrade ,usd
Q4-TX-000192,1495,2025-11-01,$72,debit card, Upgrade,usd
Q4-TX-000193,1346,10/02/2025,-254.39 USD, Debit Card,Refund ,usd
Q4-TX-000194,1104,14/10/2025,610.26, Credit Card ,Subscription,USD
Q4-TX-000195,710,26 Nov 2025,$196,Credit Card , Add-on ,USD
Q4-TX-000196,441,25 Dec 2025,161.38 USD,DEBIT CARD,Subscription,usd
Q4-TX-000197,1208,31-12-2025,52.80, PayPal,add-on,usd
Q4-TX-000198,1068,"Oct 11, 2025",$290.81,Bank Transfer ,Upgrade ,USD
Q4-TX-000199,245,22 Dec 2025,$170,DEBIT CARD,Subscription ,US Dollar
Q4-TX-000200,722,19-12-2025,USD 147.78,paypal,Add-on,US Dollar
Q4-TX-000201,1098,"Oct 19, 2025",USD 136.12,CREDIT CARD, Subscription ,usd
Q4-TX-000202,1140,13 Nov 2025,-194.42,paypal,Refund ,usd
Q4-TX-000203,351,29/10/2025,$299.97,DEBIT CARD, Upgrade ,US Dollar
Q4-TX-000204,8,12-10-2025,211.55,Credit Card,upgrade,US Dollar
Q4-TX-000205,1350,10/23/2025,$150,CREDIT CARD, Subscription,USD
Q4-TX-000206,842,27/10/2025,$444,PayPal,add-on,usd
Q4-TX-000207,481,28/12/2025,$285.27, Debit Card , Add-on,USD
Q4-TX-000208,769,12/10/2025,-171.79 USD, Bank Transfer ,REFUND,usd
Q4-TX-000209,1097,22 Nov 2025,126.82, Credit Card , Upgrade ,usd
Q4-TX-000210,947,2025-10-27,USD 115.77,Bank Transfer ,Upgrade,USD
Q4-TX-000211,319,12/29/2025,$61,Credit Card , Subscription ,usd
Q4-TX-000212,1408,11/09/2025,$230.62,Debit Card ,Subscription ,US Dollar
Q4-TX-000213,1095,11 Dec 2025,-336.65 USD, Credit Card ,refund,US Dollar
Q4-TX-000214,110,11/24/2025,-57.83, PayPal, Refund ,USD
Q4-TX-000215,1303,18 Dec 2025,USD 368.33,PayPal ,Add-on ,US Dollar
Q4-TX-000216,1237,18-10-2025,USD 349.49,Bank Transfer,subscription,usd
Q4-TX-000217,778,24/10/2025,887.55, PayPal ,Subscription,USD
Q4-TX-000218,82,05-10-2025,$-137, Credit Card , Refund,US Dollar
Q4-TX-000219,875,29-12-2025,$-26.04, Credit Card ,REFUND,USD
Q4-TX-000220,458,"Nov 28, 2025",241.77, Credit Card , Subscription,USD
Q4-TX-000221,43,18 Dec 2025,127.29, Credit Card ,upgrade,usd
Q4-TX-000222,57,08-11-2025,$315, PayPal,Upgrade ,usd
Q4-TX-000223,456,14/12/2025,USD 210.89,PAYPAL, Subscription,USD
Q4-TX-000224,119,26-10-2025,USD 490.36,credit card,Upgrade ,US Dollar
Q4-TX-000225,404,12/25/2025,139.67 USD,Debit Card,Upgrade ,US Dollar
Q4-TX-000226,1020,04-12-2025,85.95,BANK TRANSFER,Subscription,USD
Q4-TX-000227,467,18/12/2025,$435,Credit Card ,Upgrade,USD
Q4-TX-000228,77,16/11/2025,$581,Debit Card , Subscription ,US Dollar
Q4-TX-000229,542,2025-11-22,$45.38,CREDIT CARD,Subscription,usd
Q4-TX-000230,213,"Nov 21, 2025",669.15, PayPal , Upgrade,USD
Q4-TX-000231,708,18-11-2025,USD 209.50,DEBIT CARD,Add-on ,usd
Q4-TX-000232,40,2025-11-09,$343,Debit Card ,Add-on ,usd
Q4-TX-000233,735,30-11-2025,$443.84,Credit Card , Upgrade ,usd
Q4-TX-000234,625,17 Dec 2025,-122.21,BANK TRANSFER, Refund,USD
Q4-TX-000235,485,11-10-2025,$-370.25,PayPal ,refund,US Dollar
Q4-TX-000236,801,28 Nov 2025,-257.35,DEBIT CARD,refund,usd
Q4-TX-000237,863,10/31/2025,-287.28,bank transfer,refund,usd
Q4-TX-000238,215,2025-11-02,-184.31,bank transfer,REFUND,US Dollar
Q4-TX-000239,1260,12/12/2025,294.30 USD, Debit Card,Subscription ,US Dollar
Q4-TX-000240,123,29 Nov 2025,-259.72, PayPal ,REFUND,usd
Q4-TX-000241,1128,11/08/2025,192.65 USD,PAYPAL,add-on,usd
Q4-TX-000242,744,27 Dec 2025,$224.93,paypal,Upgrade ,USD
Q4-TX-000243,128,2025-11-17,-369.39,debit card, Refund,USD
Q4-TX-000244,1141,10-11-2025,$129.30, Debit Card ,Subscription,US Dollar
Q4-TX-000245,551,30 Oct 2025,-229.57 USD,Credit Card ,REFUND,usd
Q4-TX-000246,1164,"Oct 19, 2025",$266, Credit Card , Subscription ,US Dollar
Q4-TX-000247,1006,2025-11-10,147.16,PAYPAL, Upgrade,US Dollar
Q4-TX-000248,1449,25/12/2025,338.02, Credit Card,ADD-ON,USD
Q4-TX-000249,586,11/15/2025,USD 204.86, PayPal ,UPGRADE,US Dollar
Q4-TX-000250,98,2025-10-01,$113, Bank Transfer ,Subscription ,USD
Q4-TX-000251,407,2025-11-19,USD -189.17, Credit Card ,refund,USD
Q4-TX-000252,1228,11/19/2025,USD 232.66, PayPal, Add-on,US Dollar
Q4-TX-000253,81,26 Dec 2025,$133.84,Bank Transfer ,subscription,USD
Q4-TX-000254,566,11/23/2025,-275.53, Credit Card,Refund,usd
Q4-TX-000255,846,2025-11-28,, Bank Transfer, Upgrade,usd
Q4-TX-000256,509,05-12-2025,,PayPal ,Subscription ,USD
Q4-TX-000257,981,"Oct 15, 2025",$60,PayPal ,Add-on,usd
Q4-TX-000258,744,13 Oct 2025,243.56,bank transfer,add-on,US Dollar
Q4-TX-000259,1184,"Dec 07, 2025",$196.71,Credit Card ,SUBSCRIPTION,USD
Q4-TX-000260,1477,12/13/2025,86.00 USD,Credit Card ,Subscription,usd
Q4-TX-000261,1306,2025-10-21,USD 96.49,debit card,subscription,USD
Q4-TX-000262,1085,"Dec 20, 2025",175.29 USD,credit card,Subscription,US Dollar
Q4-TX-000263,1,01/10/2025,$396,DEBIT CARD,upgrade,USD
Q4-TX-000264,641,22 Oct 2025,-291.77 USD,PayPal,refund,usd
Q4-TX-000265,196,09 Nov 2025,274.99,paypal,Subscription,US Dollar
Q4-TX-000266,581,01/11/2025,-457.53,Credit Card ,refund,US Dollar
Q4-TX-000267,232,22 Dec 2025,232.26,BANK TRANSFER, Upgrade,US Dollar
Q4-TX-000268,178,"Oct 13, 2025",USD 398.82,Debit Card,add-on,US Dollar
Q4-TX-000269,1142,"Nov 30, 2025",,Debit Card ,Subscription ,US Dollar
Q4-TX-000270,379,22 Oct 2025,213.48,Bank Transfer, Subscription ,US Dollar
Q4-TX-000271,430,11 Nov 2025,544.89, Credit Card,upgrade,US Dollar
Q4-TX-000272,285,"Oct 17, 2025",$-442, Debit Card, Refund ,usd
Q4-TX-000273,678,"Dec 17, 2025",USD -291.94, Credit Card ,Refund ,USD
Q4-TX-000274,1363,10-11-2025,173.90 USD, Debit Card,add-on,USD
Q4-TX-000275,718,31 Dec 2025,150.25,Debit Card ,Add-on,USD
Q4-TX-000276,1298,2025-10-19,$410.61,Debit Card , Upgrade ,US Dollar
Q4-TX-000277,840,"Oct 15, 2025",-342.44,Credit Card, Refund,USD
Q4-TX-000278,1068,"Dec 26, 2025",58.31, PayPal , Add-on ,USD
Q4-TX-000279,492,"Oct 28, 2025",-336.22 USD, PayPal , Refund ,USD
Q4-TX-000280,284,2025-10-20,$410.52, PayPal,Subscription ,US Dollar
Q4-TX-000281,1341,01 Dec 2025,$193.73,PayPal , Add-on ,US Dollar
Q4-TX-000282,1026,2025-11-09,108.79, PayPal , Upgrade ,USD
Q4-TX-000283,711,2025-11-23,$346.15,bank transfer,Add-on ,usd
Q4-TX-000284,924,06-12-2025,-132.48,Bank Transfer,Refund ,usd
Q4-TX-000285,1112,11/02/2025,USD 52.42,bank transfer,add-on,USD
Q4-TX-000286,289,2025-10-08,-233.63, Debit Card, Refund ,USD
Q4-TX-000287,891,2025-10-18,-348.14,DEBIT CARD,Refund,usd
Q4-TX-000288,1113,2025-12-04,90.71, Debit Card,Add-on,USD
Q4-TX-000289,651,15 Nov 2025,USD -154.34,Debit Card , Refund ,USD
Q4-TX-000290,550,2025-12-20,$182.88,DEBIT CARD,Add-on,US Dollar
Q4-TX-000291,40,2025-12-30,USD -241.63, PayPal,refund,US Dollar
Q4-TX-000292,1313,12/11/2025,33.03 USD,bank transfer,UPGRADE,usd
Q4-TX-000293,427,"Nov 11, 2025",755.03, PayPal, Subscription,USD
Q4-TX-000294,764,20-11-2025,196.20 USD,Bank Transfer ,ADD-ON,US Dollar
Q4-TX-000295,7,2025-11-16,$595,credit card, Upgrade,USD
Q4-TX-000296,199,28-10-2025,175.20, Bank Transfer, Upgrade,US Dollar
Q4-TX-000297,928,21-12-2025,$226, PayPal, Subscription ,usd
Q4-TX-000298,1061,11/19/2025,-117.48,Bank Transfer,Refund ,USD
Q4-TX-000299,377,2025-10-22,120.32,DEBIT CARD,Upgrade ,usd
Q4-TX-000300,294,"Oct 17, 2025",USD -169.82,PAYPAL,Refund ,US Dollar
Q4-TX-000301,247,"Oct 17, 2025",343.56,PayPal ,subscription,US Dollar
Q4-TX-000302,1142,10/26/2025,$222.36,Debit Card,Add-on,US Dollar
Q4-TX-000303,1409,12/04/2025,-299.86 USD, Debit Card , Refund ,US Dollar
Q4-TX-000304,336,2025-11-02,$237, Debit Card ,ADD-ON,USD
Q4-TX-000305,932,"Oct 12, 2025",-209.64, Debit Card , Refund ,US Dollar
Q4-TX-000306,163,2025-10-04,276.51,debit card,SUBSCRIPTION,USD
Q4-TX-000307,83,17 Dec 2025,USD 156.16, Debit Card ,SUBSCRIPTION,usd
Q4-TX-000308,1442,11/26/2025,$200.37,BANK TRANSFER,SUBSCRIPTION,US Dollar
Q4-TX-000309,1392,11-10-2025,$105,credit card,SUBSCRIPTION,USD
Q4-TX-000310,1350,20/12/2025,$240.20, Debit Card,Add-on,USD
Q4-TX-000311,755,"Nov 18, 2025",155.73,Debit Card,ADD-ON,USD
Q4-TX-000312,317,07-12-2025,-113.23,PayPal,Refund,US Dollar
Q4-TX-000313,334,11/08/2025,USD 105.78,Bank Transfer, Upgrade ,USD
Q4-TX-000314,42,10/21/2025,483.59,PAYPAL, Upgrade,usd
Q4-TX-000315,819,02-10-2025,124.04,BANK TRANSFER, Upgrade ,usd
Q4-TX-000316,631,14/11/2025,$322, Credit Card ,Upgrade,usd
Q4-TX-000317,240,10/23/2025,-272.68, Debit Card ,REFUND,usd
Q4-TX-000318,1093,"Dec 01, 2025",$222.22,Credit Card,add-on,usd
Q4-TX-000319,1473,"Dec 02, 2025",345.30 USD,BANK TRANSFER,subscription,USD
Q4-TX-000320,1428,"Nov 21, 2025",$310.51, Credit Card,Upgrade,US Dollar
Q4-TX-000321,884,21-11-2025,$313.37,Credit Card, Add-on,usd
Q4-TX-000322,76,07/12/2025,-502.95, Credit Card,refund,US Dollar
Q4-TX-000323,1266,2025-12-20,599.73, Debit Card, Subscription,US Dollar
Q4-TX-000324,38,12/04/2025,269.41 USD, Credit Card ,subscription,USD
Q4-TX-000325,1263,11/05/2025,160.27, Credit Card, Add-on ,US Dollar
Q4-TX-000326,1147,"Oct 22, 2025",USD 233.63, Credit Card,UPGRADE,usd
Q4-TX-000327,107,12/13/2025,-100.64, PayPal , Refund,US Dollar
Q4-TX-000328,1360,12/02/2025,526.29,Bank Transfer,Subscription ,USD
Q4-TX-000329,1480,19 Nov 2025,220.33 USD,paypal, Add-on,US Dollar
Q4-TX-000330,505,12/10/2025,$842,DEBIT CARD,Add-on ,US Dollar
Q4-TX-000331,539,2025-11-16,158.83,PAYPAL,Upgrade ,US Dollar
Q4-TX-000332,100,10/10/2025,$-81.66,Bank Transfer ,refund,usd
Q4-TX-000333,59,04 Dec 2025,414.02, Credit Card, Upgrade,usd
Q4-TX-000334,1436,06/10/2025,USD 372.85,PAYPAL,Add-on,US Dollar
Q4-TX-000335,380,05 Dec 2025,USD 338.15,credit card,UPGRADE,US Dollar
