transaction_id,user_id,transaction_date,amount,payment_type,transaction_type,source_system
Q3-TX-000029,492,"Aug 05, 2025",-202.77,paypal, Refund ,Legacy Billing
Q3-TX-000030,1251,22/07/2025,USD -309.70,PayPal,REFUND,Legacy Billing
Q3-TX-000031,1284,2025-07-09,245.88,Bank Transfer ,Add-on ,Legacy Billing
Q3-TX-000032,892,2025-08-04,411.16,BANK TRANSFER,SUBSCRIPTION,Legacy Billing
Q3-TX-000033,1394,"Jul 03, 2025",455.33, Bank Transfer, Add-on,Legacy Billing
Q3-TX-000034,274,03/09/2025,$63.20,Credit Card,upgrade,Legacy Billing
Q3-TX-000035,1380,28/08/2025,$296,BANK TRANSFER,subscription,Legacy Billing
Q3-TX-000036,168,2025-08-28,,Debit Card , Refund,Legacy Billing
Q3-TX-000037,691,02-08-2025,558.09, Bank Transfer , Subscription ,Legacy Billing
Q3-TX-000038,427,30-09-2025,177.67,PayPal ,subscription,Legacy Billing
Q3-TX-000039,206,"Aug 15, 2025",USD 65.90,debit card,add-on,Legacy Billing
Q3-TX-000040,446,30/08/2025,261.70,Credit Card ,ADD-ON,Legacy Billing
Q3-TX-000041,827,30/09/2025,489.83,BANK TRANSFER, Upgrade,Legacy Billing
Q3-TX-000042,1062,19/08/2025,$481.95,Debit Card,Subscription ,Legacy Billing
Q3-TX-000043,1023,09/26/2025,$293, Debit Card ,Subscription ,Legacy Billing
Q3-TX-000044,285,31 Aug 2025,155.18, Debit Card ,subscription,Legacy Billing
Q3-TX-000045,774,2025-07-10,$186, Credit Card, Add-on ,Legacy Billing
Q3-TX-000046,1081,07/11/2025,98.74,Debit Card ,Subscription ,Legacy Billing
Q3-TX-000047,94,01-07-2025,236.51, Credit Card , Add-on,Legacy Billing
Q3-TX-000048,779,"Sep 01, 2025",247.14, PayPal,ADD-ON,Legacy Billing
Q3-TX-000049,1179,09/27/2025,$80,CREDIT CARD,Subscription ,Legacy Billing
Q3-TX-000050,1482,"Sep 18, 2025",397.26 USD,paypal,UPGRADE,Legacy Billing
Q3-TX-000051,436,17-09-2025,-15.90, PayPal ,refund,Legacy Billing
Q3-TX-000052,781,25-09-2025,-311.54, Debit Card, Refund,Legacy Billing
Q3-TX-000053,1239,24/09/2025,$-373.67,PayPal ,REFUND,Legacy Billing
Q3-TX-000054,680,"Jul 28, 2025",$415.75, PayPal ,Upgrade ,Legacy Billing
Q3-TX-000055,1290,2025-08-06,$227.91, Credit Card,Add-on,Legacy Billing
Q3-TX-000056,647,2025-08-04,244.56,Debit Card,Subscription ,Legacy Billing
Q3-TX-000057,156,19 Sep 2025,$387, PayPal,Subscription ,Legacy Billing
Q3-TX-000058,102,"Sep 19, 2025",259.32,Debit Card ,add-on,Legacy Billing
Q3-TX-000059,177,18/07/2025,$-133.78,PayPal,refund,Legacy Billing
Q3-TX-000060,426,09/30/2025,USD 258.74, Credit Card , Upgrade,Legacy Billing
Q3-TX-000061,743,"Aug 26, 2025",-589.28,Bank Transfer, Refund ,Legacy Billing
Q3-TX-000062,427,2025-07-09,160.10, Debit Card , Upgrade,Legacy Billing
Q3-TX-000063,894,09-09-2025,-138.60,paypal,Refund ,Legacy Billing
Q3-TX-000064,80,14-08-2025,$191,PayPal ,add-on,Legacy Billing
Q3-TX-000065,164,07/07/2025,$274.13,debit card,ADD-ON,Legacy Billing
Q3-TX-000066,1034,2025-08-10,119.25 USD,Debit Card ,UPGRADE,Legacy Billing
Q3-TX-000067,180,09/13/2025,61.28 USD, Credit Card, Upgrade,Legacy Billing
Q3-TX-000068,1163,12/09/2025,$257,bank transfer,Add-on,Legacy Billing
Q3-TX-000069,154,"Aug 10, 2025",$237.17,PayPal , Add-on ,Legacy Billing
Q3-TX-000070,867,17/08/2025,$-62, PayPal,REFUND,Legacy Billing
Q3-TX-000071,860,07/05/2025,$85.15, Debit Card ,Subscription ,Legacy Billing
Q3-TX-000072,804,16-09-2025,$224,credit card,SUBSCRIPTION,Legacy Billing
Q3-TX-000073,341,"Jul 23, 2025",$161.61,PayPal , Add-on ,Legacy Billing
Q3-TX-000074,892,21 Aug 2025,119.13,Debit Card,Subscription,Legacy Billing
Q3-TX-000075,1261,2025-07-15,-164.35,BANK TRANSFER, Refund ,Legacy Billing
Q3-TX-000076,939,2025-09-07,-125.66 USD, Debit Card,Refund ,Legacy Billing
Q3-TX-000077,1301,2025-07-22,-194.18,PayPal , Refund,Legacy Billing
Q3-TX-000078,343,13/07/2025,-348.64,debit card,Refund,Legacy Billing
Q3-TX-000079,489,06 Jul 2025,USD 385.12, PayPal ,SUBSCRIPTION,Legacy Billing
Q3-TX-000080,342,2025-07-20,$130, Debit Card ,add-on,Legacy Billing
Q3-TX-000081,983,2025-07-19,-241.68,DEBIT CARD,Refund ,Legacy Billing
Q3-TX-000082,776,"Jul 05, 2025",240.21, Bank Transfer , Upgrade,Legacy Billing
Q3-TX-000083,187,"Jul 04, 2025",71.08,PayPal ,add-on,Legacy Billing
Q3-TX-000084,1197,"Jul 19, 2025",38.32, PayPal , Add-on,Legacy Billing
Q3-TX-000085,1110,25-07-2025,$456,PayPal ,UPGRADE,Legacy Billing
Q3-TX-000086,248,07 Aug 2025,307.75 USD,Debit Card ,subscription,Legacy Billing
Q3-TX-000087,616,07/02/2025,$448.15,paypal, Add-on,Legacy Billing
Q3-TX-000088,977,14-07-2025,379.14 USD,BANK TRANSFER,ADD-ON,Legacy Billing
Q3-TX-000089,655,28/08/2025,$308,BANK TRANSFER,Subscription ,Legacy Billing
Q3-TX-000090,304,"Jul 19, 2025",$382.38,debit card,Subscription,Legacy Billing
Q3-TX-000091,263,"Aug 30, 2025",$193.96, Bank Transfer,Upgrade ,Legacy Billing
Q3-TX-000092,1314,19/07/2025,$324.68, Credit Card ,upgrade,Legacy Billing
Q3-TX-000093,714,08/17/2025,$374.27,paypal, Add-on ,Legacy Billing
Q3-TX-000094,830,07/05/2025,$314.85,Credit Card ,Subscription,Legacy Billing
Q3-TX-000095,414,11/07/2025,,PayPal ,subscription,Legacy Billing
Q3-TX-000096,1459,23-07-2025,94.58,paypal,UPGRADE,Legacy Billing
Q3-TX-000097,395,31 Jul 2025,299.09 USD, Credit Card,subscription,Legacy Billing
Q3-TX-000098,808,14 Sep 2025,123.27 USD,BANK TRANSFER,Upgrade ,Legacy Billing
Q3-TX-000099,1310,2025-09-03,$127.17, PayPal, Subscription ,Legacy Billing
Q3-TX-000100,1375,2025-07-10,162.62, Bank Transfer, Add-on ,Legacy Billing
Q3-TX-000101,789,2025-08-15,$180, PayPal, Subscription ,Legacy Billing
Q3-TX-000102,1012,09/09/2025,167.59 USD,Bank Transfer ,Add-on ,Legacy Billing
Q3-TX-000103,703,16 Aug 2025,USD 158.65, PayPal ,Add-on ,Legacy Billing
Q3-TX-000104,1423,16 Jul 2025,$194.92, Bank Transfer ,Upgrade ,Legacy Billing
Q3-TX-000105,801,07/02/2025,$82.59,credit card, Subscription ,Legacy Billing
Q3-TX-000106,26,06/07/2025,$-60.82,Credit Card ,Refund ,Legacy Billing
Q3-TX-000107,24,2025-09-06,526.42, PayPal ,SUBSCRIPTION,Legacy Billing
Q3-TX-000108,521,08/13/2025,USD 108.55,PAYPAL,Subscription ,Legacy Billing
Q3-TX-000109,300,07/22/2025,USD 13.48,BANK TRANSFER, Upgrade,Legacy Billing
Q3-TX-000110,577,09/23/2025,$141.34,DEBIT CARD,Upgrade ,Legacy Billing
Q3-TX-000111,1021,"Aug 07, 2025",43.57 USD, Credit Card ,add-on,Legacy Billing
Q3-TX-000112,470,"Sep 02, 2025",66.91 USD,credit card, Subscription ,Legacy Billing
Q3-TX-000113,175,2025-08-05,$205, Credit Card,Upgrade,Legacy Billing
Q3-TX-000114,625,28-09-2025,USD 73.47,CREDIT CARD,Subscription ,Legacy Billing
Q3-TX-000115,860,"Aug 18, 2025",452.34,CREDIT CARD,Upgrade,Legacy Billing
Q3-TX-000116,1358,09/14/2025,$329.49, Bank Transfer,Subscription ,Legacy Billing
Q3-TX-000117,1436,29-09-2025,26.75, Bank Transfer ,upgrade,Legacy Billing
Q3-TX-000118,908,08 Aug 2025,383.96 USD,debit card,Add-on ,Legacy Billing
Q3-TX-000119,666,11/07/2025,215.06,Bank Transfer , Subscription,Legacy Billing
Q3-TX-000120,1027,29 Jul 2025,$-85.94,DEBIT CARD, Refund,Legacy Billing
Q3-TX-000121,1297,20/07/2025,USD -158.05,Credit Card,REFUND,Legacy Billing
Q3-TX-000122,879,09/14/2025,$247, Debit Card,Upgrade ,Legacy Billing
Q3-TX-000123,911,05/08/2025,USD -412.63, Bank Transfer,Refund,Legacy Billing
Q3-TX-000124,1069,09/26/2025,$90,Credit Card,upgrade,Legacy Billing
Q3-TX-000125,514,02 Sep 2025,$209.14, Credit Card,upgrade,Legacy Billing
Q3-TX-000126,540,14 Aug 2025,USD 372.76,PayPal,Subscription ,Legacy Billing
Q3-TX-000127,635,"Jul 02, 2025",-252.75 USD, PayPal, Refund,Legacy Billing
Q3-TX-000128,779,07/14/2025,$526.44, Debit Card ,UPGRADE,Legacy Billing
Q3-TX-000129,413,29/09/2025,$150.37,PayPal, Add-on,Legacy Billing
Q3-TX-000130,532,09/13/2025,154.41,DEBIT CARD,Upgrade ,Legacy Billing
Q3-TX-000131,901,23/08/2025,-32.56 USD, Debit Card , Refund ,Legacy Billing
Q3-TX-000132,290,30 Sep 2025,-197.12,BANK TRANSFER, Refund ,Legacy Billing
Q3-TX-000133,1174,"Jul 20, 2025",USD 290.61,Debit Card,Upgrade,Legacy Billing
Q3-TX-000134,658,21 Jul 2025,$400,PayPal , Add-on,Legacy Billing
Q3-TX-000135,1415,13-07-2025,214.09,paypal,upgrade,Legacy Billing
Q3-TX-000136,1223,"Sep 25, 2025",-416.86,Credit Card ,Refund ,Legacy Billing
Q3-TX-000137,459,09/08/2025,305.00 USD,Debit Card ,Upgrade,Legacy Billing
Q3-TX-000138,179,"Aug 02, 2025",610.90 USD, Debit Card ,Subscription ,Legacy Billing
Q3-TX-000139,881,07/08/2025,$-258,Bank Transfer ,Refund ,Legacy Billing
Q3-TX-000140,93,29/07/2025,325.46 USD, PayPal, Add-on ,Legacy Billing
Q3-TX-000141,910,05/07/2025,-294.43,PayPal , Refund,Legacy Billing
Q3-TX-000142,710,31 Jul 2025,, PayPal ,refund,Legacy Billing
Q3-TX-000143,594,02-09-2025,266.26 USD, Credit Card,ADD-ON,Legacy Billing
Q3-TX-000144,348,20/07/2025,$10, Bank Transfer, Add-on,Legacy Billing
Q3-TX-000145,1250,2025-09-07,170.59 USD,PAYPAL,Add-on,Legacy Billing
Q3-TX-000146,279,07/25/2025,$82.91,Bank Transfer,Add-on,Legacy Billing
Q3-TX-000147,584,02/08/2025,$144.56,Credit Card,SUBSCRIPTION,Legacy Billing
Q3-TX-000148,1198,14/07/2025,USD -163.14,bank transfer,Refund,Legacy Billing
Q3-TX-000149,1421,15/07/2025,USD 429.01, Debit Card,Upgrade ,Legacy Billing
Q3-TX-000150,1047,"Aug 13, 2025",USD 354.93,bank transfer,Add-on ,Legacy Billing
Q3-TX-000151,1373,23/08/2025,$742.68,PAYPAL, Upgrade ,Legacy Billing
Q3-TX-000152,33,2025-07-03,209.67,paypal,add-on,Legacy Billing
Q3-TX-000153,188,20-08-2025,-101.04,PayPal,Refund ,Legacy Billing
Q3-TX-000154,753,"Jul 12, 2025",USD 113.32,DEBIT CARD,Upgrade,Legacy Billing
Q3-TX-000155,511,06 Sep 2025,384.75, PayPal,Upgrade ,Legacy Billing
Q3-TX-000156,1190,20-09-2025,137.71,Credit Card, Upgrade,Legacy Billing
Q3-TX-000157,1089,2025-09-10,59.18,paypal,Upgrade ,Legacy Billing
Q3-TX-000158,867,2025-08-05,$-297,bank transfer, Refund,Legacy Billing
Q3-TX-000159,328,07/10/2025,369.87 USD,Credit Card ,upgrade,Legacy Billing
Q3-TX-000160,527,26 Aug 2025,53.67, PayPal,Subscription,Legacy Billing
Q3-TX-000161,1429,24 Aug 2025,148.40 USD,paypal, Subscription ,Legacy Billing
Q3-TX-000162,24,2025-07-06,137.93,Credit Card ,ADD-ON,Legacy Billing
Q3-TX-000163,150,09/04/2025,$-220,debit card, Refund,Legacy Billing
Q3-TX-000164,870,03/07/2025,-137.04 USD,PayPal , Refund,Legacy Billing
Q3-TX-000165,757,15/07/2025,199.12, Credit Card,Subscription,Legacy Billing
Q3-TX-000166,964,06 Jul 2025,250.60 USD,Debit Card ,ADD-ON,Legacy Billing
Q3-TX-000167,250,29/07/2025,53.93 USD, PayPal, Add-on,Legacy Billing
Q3-TX-000168,1409,07 Jul 2025,USD 181.35, Debit Card, Add-on ,Legacy Billing
Q3-TX-000169,982,19 Jul 2025,USD -157.61,CREDIT CARD,Refund ,Legacy Billing
Q3-TX-000170,590,31 Aug 2025,181.74 USD,CREDIT CARD, Add-on ,Legacy Billing
Q3-TX-000171,1429,20/08/2025,USD -181.56, PayPal, Refund ,Legacy Billing
Q3-TX-000172,96,"Aug 24, 2025",46.74,PayPal, Upgrade,Legacy Billing
Q3-TX-000173,1225,18/09/2025,USD -583.91, PayPal ,Refund,Legacy Billing
Q3-TX-000174,181,11-08-2025,USD 228.47,Bank Transfer ,Add-on,Legacy Billing
Q3-TX-000175,1161,"Sep 05, 2025",$391, Credit Card , Add-on,Legacy Billing
Q3-TX-000176,1085,11-09-2025,$111.93,Debit Card,ADD-ON,Legacy Billing
Q3-TX-000177,1315,"Sep 15, 2025",USD 454.44,PayPal,SUBSCRIPTION,Legacy Billing
Q3-TX-000178,103,25 Jul 2025,USD 225.02,Debit Card ,upgrade,Legacy Billing
Q3-TX-000179,1311,"Sep 02, 2025",-316.56,Debit Card ,REFUND,Legacy Billing
Q3-TX-000180,255,13-08-2025,$67.31, Debit Card , Subscription,Legacy Billing
Q3-TX-000181,127,16-09-2025,-163.29 USD, Credit Card, Refund ,Legacy Billing
Q3-TX-000182,1462,08/01/2025,-236.82, PayPal,REFUND,Legacy Billing
Q3-TX-000183,972,07/04/2025,$586, Credit Card,ADD-ON,Legacy Billing
Q3-TX-000184,1045,01 Aug 2025,$291.68,credit card,subscription,Legacy Billing
Q3-TX-000185,1373,08/01/2025,USD -90.91,paypal, Refund ,Legacy Billing
Q3-TX-000186,154,08/27/2025,USD 100.13,debit card,subscription,Legacy Billing
Q3-TX-000187,777,08/22/2025,USD 59.61, Credit Card, Upgrade ,Legacy Billing
Q3-TX-000188,1474,"Jul 21, 2025",119.57,bank transfer,Add-on,Legacy Billing
Q3-TX-000189,749,2025-08-21,$458.91,paypal, Add-on,Legacy Billing
Q3-TX-000190,94,09/28/2025,278.91 USD, Debit Card , Subscription,Legacy Billing
Q3-TX-000191,1282,09/19/2025,USD 318.24,DEBIT CARD,subscription,Legacy Billing
Q3-TX-000192,1377,23 Sep 2025,-460.25, PayPal,Refund ,Legacy Billing
Q3-TX-000193,996,11 Sep 2025,$322.89,Bank Transfer ,add-on,Legacy Billing
Q3-TX-000194,281,17-09-2025,$74, Credit Card ,add-on,Legacy Billing
Q3-TX-000195,10,"Jul 07, 2025",368.48,BANK TRANSFER,SUBSCRIPTION,Legacy Billing
Q3-TX-000196,304,09/26/2025,$663.86,bank transfer,Upgrade ,Legacy Billing
Q3-TX-000197,1297,2025-08-11,75.60, Bank Transfer,Add-on,Legacy Billing
Q3-TX-000198,741,"Aug 31, 2025",252.74 USD, Credit Card ,add-on,Legacy Billing
Q3-TX-000199,1169,07/27/2025,$449.67, Bank Transfer,UPGRADE,Legacy Billing
Q3-TX-000200,149,2025-07-30,$383.54, Debit Card ,Subscription ,Legacy Billing
Q3-TX-000201,1305,31 Jul 2025,$668,CREDIT CARD, Subscription ,Legacy Billing
Q3-TX-000202,964,20 Jul 2025,460.96,paypal,upgrade,Legacy Billing
Q3-TX-000203,65,"Jul 25, 2025",USD 132.58,debit card,UPGRADE,Legacy Billing
Q3-TX-000204,240,08/27/2025,414.36, Credit Card, Upgrade ,Legacy Billing
Q3-TX-000205,1382,07/13/2025,-213.58,DEBIT CARD,refund,Legacy Billing
Q3-TX-000206,1090,"Jul 26, 2025",USD 177.24,PayPal ,subscription,Legacy Billing
Q3-TX-000207,495,09-07-2025,136.62,credit card, Subscription ,Legacy Billing
Q3-TX-000208,1057,20-08-2025,$420, PayPal,Upgrade ,Legacy Billing
Q3-TX-000209,1030,13 Sep 2025,USD 83.28, PayPal , Add-on,Legacy Billing
Q3-TX-000210,1245,09/09/2025,$245.14,PAYPAL,subscription,Legacy Billing
Q3-TX-000211,752,2025-07-22,$139, Bank Transfer,Subscription,Legacy Billing
Q3-TX-000212,838,10/07/2025,-222.12, Debit Card,REFUND,Legacy Billing
Q3-TX-000213,48,28 Sep 2025,-191.69 USD,bank transfer,Refund,Legacy Billing
Q3-TX-000214,1277,04/07/2025,227.37 USD,PayPal,UPGRADE,Legacy Billing
Q3-TX-000215,409,"Aug 11, 2025",USD 280.28,BANK TRANSFER,Upgrade,Legacy Billing
Q3-TX-000216,1258,"Sep 18, 2025",, Bank Transfer,add-on,Legacy Billing
Q3-TX-000217,933,23-09-2025,-83.97 USD, Bank Transfer,Refund,Legacy Billing
Q3-TX-000218,1483,21 Aug 2025,USD -122.49, Credit Card ,refund,Legacy Billing
Q3-TX-000219,358,08-07-2025,$245.88, Debit Card ,add-on,Legacy Billing
Q3-TX-000220,1122,16 Aug 2025,223.13, Credit Card,upgrade,Legacy Billing
Q3-TX-000221,556,13/09/2025,123.51,Credit Card ,add-on,Legacy Billing
Q3-TX-000222,1303,30/08/2025,$243.65, Credit Card, Add-on ,Legacy Billing
Q3-TX-000223,83,"Jul 30, 2025",$-435.77,Bank Transfer, Refund,Legacy Billing
Q3-TX-000224,288,2025-09-24,$225,CREDIT CARD, Subscription ,Legacy Billing
Q3-TX-000225,1012,14/07/2025,USD 117.22,PAYPAL,ADD-ON,Legacy Billing
Q3-TX-000226,1091,2025-08-03,$69, PayPal, Subscription ,Legacy Billing
Q3-TX-000227,821,19-08-2025,$-222,DEBIT CARD,Refund,Legacy Billing
Q3-TX-000228,169,06 Sep 2025,USD 108.93, Credit Card, Add-on ,Legacy Billing
Q3-TX-000229,347,14 Jul 2025,$-172,Bank Transfer,REFUND,Legacy Billing
Q3-TX-000230,1281,"Jul 26, 2025",$285, Debit Card, Upgrade,Legacy Billing
Q3-TX-000231,768,08-08-2025,$-267.39,credit card, Refund,Legacy Billing
Q3-TX-000232,219,09-08-2025,$446.84,debit card,SUBSCRIPTION,Legacy Billing
Q3-TX-000233,214,02-07-2025,49.26,Debit Card,Upgrade,Legacy Billing
Q3-TX-000234,97,2025-09-14,,Debit Card, Upgrade,Legacy Billing
Q3-TX-000235,1072,2025-08-13,192.50,Credit Card,ADD-ON,Legacy Billing
Q3-TX-000236,1390,"Jul 01, 2025",247.57, Bank Transfer,Upgrade ,Legacy Billing
Q3-TX-000237,1138,2025-08-03,$92.01,Credit Card,UPGRADE,Legacy Billing
Q3-TX-000238,224,2025-07-28,$131.62,DEBIT CARD, Add-on,Legacy Billing
Q3-TX-000239,907,09/30/2025,$-85, Debit Card, Refund ,Legacy Billing
Q3-TX-000240,1069,"Sep 13, 2025",260.38,PayPal,Add-on ,Legacy Billing
Q3-TX-000241,103,"Aug 22, 2025",127.05,paypal, Upgrade,Legacy Billing
Q3-TX-000242,297,2025-07-07,379.60, PayPal,Add-on,Legacy Billing
Q3-TX-000243,1070,2025-08-05,346.31,Credit Card ,Upgrade,Legacy Billing
Q3-TX-000244,896,02/08/2025,$409.78,PAYPAL,Upgrade ,Legacy Billing
Q3-TX-000245,1061,08/09/2025,-159.71 USD, Credit Card , Refund,Legacy Billing
Q3-TX-000246,710,25 Aug 2025,USD 160.55,Credit Card , Upgrade ,Legacy Billing
Q3-TX-000247,339,26 Sep 2025,-168.92,PAYPAL, Refund ,Legacy Billing
Q3-TX-000248,316,06-08-2025,$118.21, Debit Card ,Add-on ,Legacy Billing
Q3-TX-000249,1363,17 Sep 2025,$-79,paypal,refund,Legacy Billing
Q3-TX-000250,183,02/09/2025,104.64,CREDIT CARD, Upgrade,Legacy Billing
Q3-TX-000251,1225,23/08/2025,507.20,PayPal, Upgrade ,Legacy Billing
Q3-TX-000252,846,2025-09-14,147.97 USD, PayPal,subscription,Legacy Billing
Q3-TX-000253,68,08/24/2025,588.48, PayPal,Add-on,Legacy Billing
Q3-TX-000254,258,"Sep 20, 2025",, PayPal,Upgrade ,Legacy Billing
Q3-TX-000255,661,08/06/2025,$241, Debit Card, Upgrade ,Legacy Billing
Q3-TX-000256,408,"Jul 19, 2025",-266.22,Debit Card , Refund ,Legacy Billing
Q3-TX-000257,1269,2025-07-12,USD -217.56,Bank Transfer,REFUND,Legacy Billing
Q3-TX-000258,994,01 Sep 2025,$142.46,debit card,Upgrade,Legacy Billing
Q3-TX-000259,287,09/07/2025,$-41,Debit Card ,Refund ,Legacy Billing
Q3-TX-000260,477,22 Sep 2025,203.50 USD,DEBIT CARD, Upgrade ,Legacy Billing
Q3-TX-000261,1243,07/07/2025,116.78, Debit Card,Subscription,Legacy Billing
Q3-TX-000262,1390,30/07/2025,147.50, Bank Transfer, Upgrade ,Legacy Billing
Q3-TX-000263,327,11-07-2025,140.34, Credit Card,Subscription,Legacy Billing
Q3-TX-000264,913,10 Aug 2025,$506.71,Bank Transfer , Add-on ,Legacy Billing
Q3-TX-000265,756,28/08/2025,-100.24,Debit Card , Refund,Legacy Billing
Q3-TX-000266,144,2025-08-29,580.00, PayPal,ADD-ON,Legacy Billing
Q3-TX-000267,765,07/09/2025,657.57 USD,DEBIT CARD,SUBSCRIPTION,Legacy Billing
Q3-TX-000268,1342,08/07/2025,371.63 USD,Debit Card , Add-on,Legacy Billing
Q3-TX-000269,1192,"Sep 18, 2025",$22,Bank Transfer ,Add-on,Legacy Billing
Q3-TX-000270,3,2025-07-04,76.53 USD, Credit Card,UPGRADE,Legacy Billing
Q3-TX-000271,718,02/07/2025,$420.95,credit card, Upgrade ,Legacy Billing
Q3-TX-000272,1350,18/07/2025,$94.53,CREDIT CARD,Add-on ,Legacy Billing
Q3-TX-000273,760,27-08-2025,230.52 USD,DEBIT CARD,Add-on,Legacy Billing
Q3-TX-000274,1058,01/08/2025,USD 140.53,Debit Card,add-on,Legacy Billing
Q3-TX-000275,920,09/05/2025,$442.90,PAYPAL, Add-on,Legacy Billing
Q3-TX-000276,98,"Jul 25, 2025",USD 220.28,Debit Card,add-on,Legacy Billing
Q3-TX-000277,638,07-07-2025,USD -242.79, PayPal,Refund,Legacy Billing
Q3-TX-000278,9,07/24/2025,823.53 USD,PayPal,ADD-ON,Legacy Billing
Q3-TX-000279,1275,08/06/2025,USD -586.11, PayPal,REFUND,Legacy Billing
Q3-TX-000280,392,13-07-2025,219.49,PAYPAL, Upgrade ,Legacy Billing
Q3-TX-000281,783,07/17/2025,31.70,Debit Card , Upgrade ,Legacy Billing
Q3-TX-000282,382,08/14/2025,333.28,PayPal,Add-on ,Legacy Billing
Q3-TX-000283,263,02 Sep 2025,711.48,Bank Transfer ,upgrade,Legacy Billing
Q3-TX-000284,575,12 Aug 2025,41.22 USD, Bank Transfer ,Subscription,Legacy Billing
Q3-TX-000285,455,08/18/2025,$359.13,Credit Card ,Upgrade ,Legacy Billing
Q3-TX-000286,32,25 Jul 2025,-457.73,CREDIT CARD, Refund ,Legacy Billing
Q3-TX-000287,937,31/07/2025,USD 219.16,Debit Card , Add-on ,Legacy Billing
Q3-TX-000288,1445,22/08/2025,-235.39, Bank Transfer,REFUND,Legacy Billing
Q3-TX-000289,1031,09-09-2025,USD 222.85,Debit Card,Add-on,Legacy Billing
Q3-TX-000290,900019,07/20/2025,-87.28 USD,PAYPAL,REFUND,Legacy Billing
Q3-TX-000291,637,2025-09-08,863.90, PayPal,Add-on,Legacy Billing
Q3-TX-000292,560,"Jul 28, 2025",63.81 USD,Debit Card, Add-on,Legacy Billing
Q3-TX-000293,303,24-08-2025,$362, PayPal ,SUBSCRIPTION,Legacy Billing
Q3-TX-000294,555,2025-07-14,-346.64 USD, Credit Card, Refund ,Legacy Billing
Q3-TX-000295,184,"Jul 10, 2025",95.39, Bank Transfer ,Subscription,Legacy Billing
Q3-TX-000296,474,07/08/2025,$-233,CREDIT CARD, Refund,Legacy Billing
Q3-TX-000297,284,2025-07-28,-80.49 USD,CREDIT CARD,REFUND,Legacy Billing
Q3-TX-000298,1044,23/09/2025,-300.35,PayPal , Refund,Legacy Billing
Q3-TX-000299,1163,10-08-2025,$-473.80,PayPal,REFUND,Legacy Billing
Q3-TX-000300,200,08/22/2025,$239,DEBIT CARD, Upgrade,Legacy Billing
Q3-TX-000301,725,07-08-2025,$348.00, PayPal,UPGRADE,Legacy Billing
Q3-TX-000302,334,2025-07-16,$104, Bank Transfer ,Add-on ,Legacy Billing
Q3-TX-000303,441,"Aug 24, 2025",$-103,bank transfer, Refund,Legacy Billing
Q3-TX-000304,421,2025-08-23,USD 225.77, Bank Transfer,Add-on ,Legacy Billing
Q3-TX-000305,473,06-09-2025,74.44,BANK TRANSFER,Subscription ,Legacy Billing
