transaction_id,user_id,transaction_date,amount,payment_method,transaction_type
Q1-TX-000218,123,28-03-2025,$230, PayPal ,Add-on 
Q1-TX-000219,707,03/09/2025,$-242, Credit Card ,refund
Q1-TX-000220,816,11 Feb 2025,154.95,bank transfer,add-on
Q1-TX-000221,701,08/03/2025,USD -91.22,PayPal , Refund 
Q1-TX-000222,127,2025-02-21,$-155.02,PAYPAL, Refund
Q1-TX-000223,1272,"Mar 28, 2025",USD 180.94, Debit Card , Upgrade
Q1-TX-000224,183,03/15/2025,-606.88, Debit Card ,refund
Q1-TX-000225,948,01/17/2025,-495.65,CREDIT CARD,REFUND
Q1-TX-000226,1116,15 Feb 2025,229.03 USD,Bank Transfer ,SUBSCRIPTION
Q1-TX-000227,812,01/01/2025,$842,BANK TRANSFER,UPGRADE
Q1-TX-000228,989,"Feb 09, 2025",486.09 USD,Debit Card,Add-on 
Q1-TX-000229,1070,"Jan 22, 2025",$-126,credit card, Refund 
Q1-TX-000230,1462,"Jan 12, 2025",106.94,bank transfer,subscription
Q1-TX-000231,1217,03/19/2025,430.36, Debit Card ,UPGRADE
Q1-TX-000232,1353,03 Jan 2025,, Bank Transfer,add-on
Q1-TX-000233,102,2025-01-08,$210.14, PayPal ,Subscription 
Q1-TX-000234,927,01/15/2025,$245.52, PayPal, Subscription 
Q1-TX-000235,1267,2025-01-07,$124.85,PayPal,subscription
Q1-TX-000236,914,09 Mar 2025,USD 161.91,PayPal , Subscription 
Q1-TX-000237,1337,20 Mar 2025,371.10,DEBIT CARD, Add-on
Q1-TX-000238,831,"Jan 21, 2025",104.96,Bank Transfer, Upgrade
Q1-TX-000239,1117,19-02-2025,156.07 USD,Credit Card , Upgrade
Q1-TX-000240,687,30 Jan 2025,90.86,BANK TRANSFER, Add-on
Q1-TX-000241,72,02 Jan 2025,-399.69,CREDIT CARD,REFUND
Q1-TX-000242,231,01/01/2025,$-258,Debit Card ,Refund
Q1-TX-000243,1006,14 Jan 2025,198.69,PayPal,SUBSCRIPTION
Q1-TX-000244,478,2025-03-06,-474.25, Bank Transfer ,Refund
Q1-TX-000245,510,2025-03-26,103.62,paypal,UPGRADE
Q1-TX-000246,403,22/01/2025,395.65 USD,Credit Card , Add-on 
Q1-TX-000247,380,28 Mar 2025,115.14,Bank Transfer ,Subscription 
Q1-TX-000248,1231,2025-01-31,$210.19,Credit Card,subscription
Q1-TX-000249,111,2025-03-07,USD 230.52,debit card,add-on
Q1-TX-000250,806,03 Feb 2025,32.64, Debit Card , Add-on 
Q1-TX-000251,336,22-03-2025,$527,Credit Card ,add-on
Q1-TX-000252,651,02/21/2025,312.57 USD,PayPal ,subscription
Q1-TX-000253,1212,16-03-2025,$118, Credit Card ,SUBSCRIPTION
Q1-TX-000254,1221,"Mar 15, 2025",USD 203.85, Credit Card,Subscription
Q1-TX-000255,239,03/25/2025,$211,Credit Card , Subscription 
Q1-TX-000256,18,01-03-2025,-55.49,bank transfer, Refund 
Q1-TX-000257,969,27 Mar 2025,USD 258.31,PayPal, Add-on
Q1-TX-000258,900010,"Mar 28, 2025",$370.54,BANK TRANSFER,UPGRADE
Q1-TX-000259,842,02 Jan 2025,USD 324.61, Bank Transfer , Add-on 
Q1-TX-000260,34,27/03/2025,245.90, Bank Transfer,UPGRADE
Q1-TX-000261,1190,01/20/2025,569.01 USD,bank transfer, Add-on 
Q1-TX-000262,587,15/03/2025,"USD 1,118.93", Credit Card ,Upgrade 
Q1-TX-000263,314,02 Jan 2025,USD 633.62,Bank Transfer , Add-on 
Q1-TX-000264,361,07 Feb 2025,$159,credit card, Upgrade 
Q1-TX-000265,983,03-03-2025,245.21 USD,PAYPAL,SUBSCRIPTION
Q1-TX-000266,817,14/01/2025,158.11 USD, PayPal,Add-on 
Q1-TX-000267,657,"Mar 12, 2025",319.95 USD,CREDIT CARD,Add-on
Q1-TX-000268,767,"Feb 25, 2025",USD -315.84,bank transfer,REFUND
Q1-TX-000269,559,"Mar 04, 2025",200.81 USD,Bank Transfer ,Upgrade 
Q1-TX-000270,543,2025-03-02,$-62.08,Debit Card , Refund
Q1-TX-000271,1258,2025-02-02,$-265.14,DEBIT CARD,REFUND
Q1-TX-000272,1474,27/03/2025,USD 117.48,Debit Card,Upgrade
Q1-TX-000273,143,03/24/2025,314.27, Credit Card ,Add-on
Q1-TX-000274,904,14-02-2025,448.20,Debit Card , Subscription
Q1-TX-000275,487,01/11/2025,USD 250.23, Debit Card, Upgrade
Q1-TX-000276,1255,2025-01-21,$-98,Credit Card,Refund 
Q1-TX-000277,337,25/02/2025,588.59,PAYPAL,upgrade
Q1-TX-000278,436,2025-02-26,-98.44,Credit Card, Refund 
Q1-TX-000279,1371,22 Mar 2025,$252.81, Debit Card ,Upgrade 
Q1-TX-000280,1080,2025-03-12,-260.94 USD, PayPal , Refund 
Q1-TX-000281,203,18-01-2025,376.59,Bank Transfer , Upgrade
Q1-TX-000282,1011,2025-02-02,69.92,credit card,Subscription
Q1-TX-000283,1481,03/03/2025,147.73,Credit Card,Subscription
Q1-TX-000284,1053,21-03-2025,120.22 USD,BANK TRANSFER,Add-on
Q1-TX-000285,497,"Jan 12, 2025",125.46,PayPal,subscription
Q1-TX-000286,757,2025-01-10,,Debit Card ,Subscription
Q1-TX-000287,1196,09 Feb 2025,$-120.40, Credit Card, Refund 
Q1-TX-000288,486,19 Feb 2025,110.89 USD,debit card,Add-on
Q1-TX-000289,536,06/02/2025,$307, PayPal ,upgrade
Q1-TX-000290,384,"Feb 02, 2025",428.30,CREDIT CARD,add-on
Q1-TX-000291,196,2025-03-11,115.00 USD,Bank Transfer,Add-on 
Q1-TX-000292,377,03 Mar 2025,124.09, Credit Card , Add-on
Q1-TX-000293,1416,02/22/2025,USD 288.50,PayPal,Add-on
Q1-TX-000294,1276,29-01-2025,312.28 USD, Debit Card,SUBSCRIPTION
Q1-TX-000295,1245,01/08/2025,94.57 USD,PayPal ,SUBSCRIPTION
Q1-TX-000296,76,01/17/2025,158.60 USD, PayPal ,Upgrade
Q1-TX-000297,795,23/03/2025,145.13 USD,CREDIT CARD,Subscription
Q1-TX-000298,1111,04/02/2025,-401.10,debit card,REFUND
Q1-TX-000299,1440,14/02/2025,USD -106.15, Bank Transfer, Refund 
Q1-TX-000300,1485,10-02-2025,35.74,Bank Transfer ,Upgrade 
Q1-TX-000301,693,12 Mar 2025,USD 169.96,Credit Card ,Upgrade 
Q1-TX-000302,906,16/01/2025,-183.59, Debit Card,Refund
Q1-TX-000303,756,"Feb 24, 2025",217.86 USD, Debit Card,upgrade
Q1-TX-000304,921,02/06/2025,,CREDIT CARD,add-on
Q1-TX-000305,812,2025-03-20,$-532,Debit Card,REFUND
Q1-TX-000306,11,07 Mar 2025,$348.62,Bank Transfer,ADD-ON
Q1-TX-000307,1119,16-03-2025,-127.63 USD,Debit Card , Refund 
Q1-TX-000308,649,31-03-2025,$148.81, Credit Card ,add-on
Q1-TX-000309,1459,2025-02-06,USD 192.16, Debit Card,UPGRADE
Q1-TX-000310,1314,11/02/2025,USD 240.85,Credit Card,Subscription 
Q1-TX-000311,1267,01/26/2025,159.89, PayPal,Upgrade 
Q1-TX-000312,818,02-03-2025,$270,Credit Card,Upgrade 
Q1-TX-000313,354,22/02/2025,$134.09,bank transfer,Upgrade
Q1-TX-000314,677,13/01/2025,142.67,CREDIT CARD,UPGRADE
Q1-TX-000315,1,04-02-2025,180.17 USD,Credit Card, Add-on 
Q1-TX-000316,655,"Jan 16, 2025",118.68, Debit Card,Upgrade 
Q1-TX-000317,201,2025-02-15,-53.07 USD, PayPal ,REFUND
Q1-TX-000318,145,"Jan 31, 2025",494.96 USD,debit card,subscription
Q1-TX-000319,1212,16-03-2025,111.43, Debit Card,Add-on 
Q1-TX-000320,1399,18-03-2025,USD -307.07,Debit Card,refund
Q1-TX-000321,738,2025-02-26,-449.35,PAYPAL, Refund 
Q1-TX-000322,124,"Jan 14, 2025",,Credit Card,SUBSCRIPTION
Q1-TX-000323,1295,11/01/2025,164.58,debit card,Subscription
Q1-TX-000324,874,2025-02-22,$-256.82,PayPal,Refund
Q1-TX-000325,559,01/12/2025,$-410.73,PAYPAL, Refund
Q1-TX-000326,145,2025-02-28,$531.49, Credit Card ,Upgrade
Q1-TX-000327,6,21/02/2025,$77.34,Bank Transfer , Subscription
Q1-TX-000328,90,29-01-2025,$-574.32,PAYPAL,REFUND
Q1-TX-000329,238,"Feb 17, 2025",249.05,credit card, Add-on 
Q1-TX-000330,1323,17/01/2025,297.57,DEBIT CARD,Upgrade
Q1-TX-000331,249,19-03-2025,USD 229.20, Credit Card , Subscription 
Q1-TX-000332,1166,15 Feb 2025,-72.59,CREDIT CARD,REFUND
Q1-TX-000333,1008,2025-02-26,168.64,PAYPAL,Add-on
Q1-TX-000334,96,01/23/2025,USD 221.59, Bank Transfer ,Subscription
Q1-TX-000335,1121,02/10/2025,153.95 USD,DEBIT CARD, Upgrade
Q1-TX-000336,1477,"Mar 06, 2025",414.41, Debit Card ,ADD-ON
Q1-TX-000337,61,03/02/2025,112.06,Credit Card, Upgrade
Q1-TX-000338,895,2025-02-09,USD 193.02,Bank Transfer,add-on
Q1-TX-000339,537,2025-01-03,174.05,PAYPAL,ADD-ON
Q1-TX-000340,871,"Mar 23, 2025",-144.57 USD,BANK TRANSFER,Refund
Q1-TX-000341,900005,01/29/2025,USD 281.97,Debit Card, Upgrade
Q1-TX-000342,1149,02 Mar 2025,306.11,PayPal , Subscription 
Q1-TX-000343,1326,29-01-2025,USD 156.71, Bank Transfer, Add-on
Q1-TX-000344,697,02/14/2025,93.98, Debit Card,SUBSCRIPTION
Q1-TX-000345,438,2025-02-04,164.48 USD, Debit Card,Add-on 
Q1-TX-000346,875,17/01/2025,USD 392.80, Debit Card , Upgrade 
Q1-TX-000347,1490,13/03/2025,USD 120.84, PayPal, Add-on 
Q1-TX-000348,642,07 Feb 2025,$218.12, Debit Card ,Subscription
Q1-TX-000349,986,26 Feb 2025,88.96 USD,paypal,Add-on 
Q1-TX-000350,226,25/01/2025,$-137,CREDIT CARD,refund
Q1-TX-000351,269,"Jan 03, 2025",140.93, PayPal ,SUBSCRIPTION
Q1-TX-000352,837,01/01/2025,128.86, Bank Transfer,upgrade
Q1-TX-000353,310,16/03/2025,USD 275.16,bank transfer,Add-on 
Q1-TX-000354,880,29-01-2025,95.53,bank transfer, Upgrade 
Q1-TX-000355,867,07 Jan 2025,$248.77,DEBIT CARD,Upgrade 
Q1-TX-000356,914,07 Mar 2025,621.70 USD,Credit Card, Subscription
Q1-TX-000357,1457,04/01/2025,254.62,credit card, Subscription
Q1-TX-000358,860,2025-01-07,$104, PayPal,Upgrade 
Q1-TX-000359,1456,15-01-2025,USD 301.46, Bank Transfer ,Add-on 
Q1-TX-000360,732,05 Feb 2025,-290.52,PayPal ,Refund
Q1-TX-000361,223,"Jan 06, 2025",$384,PayPal ,Upgrade 
Q1-TX-000362,745,02/21/2025,181.13 USD,PayPal,upgrade
Q1-TX-000363,1059,31 Jan 2025,298.57, PayPal,Add-on 
Q1-TX-000364,480,"Feb 14, 2025",153.18,CREDIT CARD,SUBSCRIPTION
Q1-TX-000365,1338,2025-03-13,$-144.30,Credit Card, Refund
Q1-TX-000366,303,"Mar 26, 2025",$353.30,Credit Card,UPGRADE
Q1-TX-000367,214,"Mar 29, 2025",$45,PayPal , Upgrade
