interaction_id,user_id,campaign_id,interaction_date,interaction_type,converted
INT-0000089,388,CMP-0015,09/29/2025,Impression ,No
INT-0000090,1287,CMP-0030,2025-04-30,website visit, No 
INT-0000091,187,CMP-0027,"Dec 09, 2025",Email Open, Yes
INT-0000092,1035,CMP-0012,2025-12-06, Impression,NO
INT-0000093,1073,CMP-0013,05 May 2025, Website Visit,NO
INT-0000094,1399,CMP-0027,06/09/2025, Demo Request,No
INT-0000095,906,CMP-0009,07/09/2025,Email Open ,No 
INT-0000096,1108,CMP-0026,16-10-2025,IMPRESSION,No
INT-0000097,253,CMP-0014,04 Mar 2025,DEMO REQUEST,no
INT-0000098,1338,CMP-0030,24/04/2025, Demo Request,No
INT-0000099,1257,CMP-0015,23/10/2025,Click, No
INT-0000100,123,CMP-0027,"Jul 09, 2025",Demo Request, No 
INT-0000101,616,CMP-0016,01/05/2025, Demo Request ,YES
INT-0000102,1450,CMP-0020,09/11/2025, Impression,No 
INT-0000103,366,CMP-0030,30 Mar 2025,impression, No
INT-0000104,601,CMP-0017,18/06/2025,demo request,no
INT-0000105,1431,CMP-0007,23 Dec 2025, Email Open ,yes
INT-0000106,1088,CMP-0017,03-09-2025, Email Open ,No 
INT-0000107,1224,CMP-0002,09/03/2025,EMAIL OPEN,Yes 
INT-0000108,360,CMP-0027,2025-08-12,DEMO REQUEST, No
INT-0000109,1106,CMP-0015,2025-01-12,Click, No 
INT-0000110,630,CMP-0004,13 Feb 2025,Impression ,No
INT-0000111,150,CMP-0009,06/21/2025, Click,No
INT-0000112,1316,CMP-0016,14 Mar 2025, Website Visit ,NO
INT-0000113,575,CMP-0008,2025-03-12,Impression,No 
INT-0000114,514,CMP-0026,14-10-2025,Website Visit,no
INT-0000115,1218,CMP-0026,07/22/2025,demo request,NO
INT-0000116,944,CMP-0014,"Apr 08, 2025",Click,No 
INT-0000117,280,CMP-0010,02/21/2025,Email Open ,Yes 
INT-0000118,1440,CMP-0029,"Mar 01, 2025", Demo Request, No
INT-0000119,851,CMP-0011,07 Apr 2025, Website Visit ,no
INT-0000120,1201,CMP-0011,07/20/2025,Demo Request, No
INT-0000121,358,CMP-0022,"Feb 20, 2025", Email Open, Yes 
INT-0000122,1374,CMP-0001,"Aug 16, 2025", Website Visit,YES
INT-0000123,595,CMP-0005,2025-10-17,Click ,NO
INT-0000124,789,CMP-0003,17 May 2025, Demo Request, No
INT-0000125,944,CMP-0009,10-02-2025, Demo Request ,Yes 
INT-0000126,1225,CMP-0015,29/04/2025, Impression ,No 
INT-0000127,847,CMP-0025,08/28/2025,trial signup, No 
INT-0000128,1405,CMP-0021,19 Oct 2025,Email Open, No
INT-0000129,644,CMP-0002,24/04/2025, Demo Request,NO
INT-0000130,1043,CMP-0023,2025-08-03,Email Open,No 
INT-0000131,648,CMP-0022,12/18/2025,Website Visit , No 
INT-0000132,1021,CMP-0020,09/25/2025, Click ,No
INT-0000133,1492,CMP-0001,04-06-2025, Click, No 
INT-0000134,165,CMP-0002,"Aug 05, 2025",Website Visit , No 
INT-0000135,1119,CMP-0028,"Nov 15, 2025", Email Open,Yes 
INT-0000136,1126,CMP-0002,2025-05-03, Website Visit ,yes
INT-0000137,66,,"Jul 01, 2025", Impression , No
INT-0000138,357,CMP-0024,20/08/2025, Demo Request,Yes
INT-0000139,678,CMP-0026,"Feb 21, 2025", Click,Yes 
INT-0000140,174,,"Nov 15, 2025",DEMO REQUEST, No 
INT-0000141,1368,CMP-0027,13 Aug 2025,Demo Request,No 
INT-0000142,196,CMP-0029,04/11/2025, Demo Request ,No
INT-0000143,595,CMP-0027,09-11-2025, Click ,No
INT-0000144,912,CMP-0013,09-07-2025, Demo Request ,No 
INT-0000145,1379,CMP-0008,11-01-2025, Demo Request ,NO
INT-0000146,1176,CMP-0011,"Jul 30, 2025",Click, No 
INT-0000147,1459,CMP-0008,01/11/2025,Demo Request, Yes 
INT-0000148,897,CMP-0013,04 May 2025,Impression ,NO
INT-0000149,967,CMP-0023,01 Jan 2025, Email Open,no
INT-0000150,1062,CMP-0003,06/12/2025,Impression,No 
INT-0000151,1213,CMP-0018,27 Apr 2025,trial signup,No
INT-0000152,579,CMP-0003,02/02/2025,Click ,No
INT-0000153,1348,CMP-0016,26-11-2025,demo request,No
INT-0000154,655,CMP-0006,20 May 2025, Website Visit, No 
INT-0000155,858,CMP-0012,06 Jul 2025,website visit,no
INT-0000156,1234,CMP-0005,2025-09-27,Email Open,YES
INT-0000157,122,CMP-0014,06-08-2025,DEMO REQUEST,No 
INT-0000158,701,CMP-0010,06/02/2025,trial signup,No
INT-0000159,133,CMP-0007,27 Jul 2025, Email Open ,yes
INT-0000160,1235,CMP-0003,04 Mar 2025,Demo Request, No 
INT-0000161,1222,CMP-0015,10/03/2025, Demo Request ,NO
INT-0000162,177,CMP-0027,30-05-2025,Email Open , Yes
INT-0000163,1190,CMP-0009,21 Oct 2025, Demo Request, No
INT-0000164,347,CMP-0023,2025-07-17, Click,No
INT-0000165,595,CMP-0002,2025-04-17,IMPRESSION,No 
INT-0000166,419,CMP-0024,08/02/2025,Demo Request ,no
INT-0000167,1109,CMP-0029,09/02/2025,click,Yes
INT-0000168,987,CMP-0007,"Dec 24, 2025",Trial Signup,Yes
INT-0000169,103,CMP-0001,13/05/2025, Email Open ,NO
INT-0000170,1169,CMP-0020,11 Jun 2025,Impression,NO
INT-0000171,1109,CMP-0011,2025-05-22,Website Visit , No 
INT-0000172,1229,CMP-0006,2025-12-20,Demo Request ,NO
INT-0000173,61,CMP-0026,25/06/2025,DEMO REQUEST,No
INT-0000174,560,CMP-0028,14-02-2025, Impression ,no
INT-0000175,960,CMP-0013,20/12/2025,Demo Request , No 
INT-0000176,1260,CMP-0021,22-11-2025,WEBSITE VISIT, No
INT-0000177,81,CMP-0017,09-08-2025,IMPRESSION, No 
INT-0000178,481,CMP-0014,07/21/2025,Click , Yes
INT-0000179,521,CMP-0004,2025-09-01,IMPRESSION,no
INT-0000180,527,CMP-0015,27/06/2025,CLICK,No
INT-0000181,1412,CMP-0017,05-10-2025, Trial Signup , No
INT-0000182,813,CMP-0016,24-05-2025,DEMO REQUEST,No 
INT-0000183,1455,CMP-0021,03-11-2025,Demo Request,NO
INT-0000184,142,CMP-0021,08/13/2025,Email Open,No
INT-0000185,493,CMP-0004,30 Aug 2025, Trial Signup,No
INT-0000186,927,CMP-0016,"Mar 31, 2025", Website Visit ,YES
INT-0000187,1030,CMP-0006,11/10/2025,Website Visit ,Yes
INT-0000188,1450,CMP-0023,15 Jun 2025,IMPRESSION,No 
INT-0000189,1139,CMP-0012,2025-07-09,demo request, No 
INT-0000190,98,CMP-0023,11/27/2025,Trial Signup,NO
INT-0000191,381,CMP-0024,"Mar 09, 2025",Trial Signup,NO
INT-0000192,468,CMP-0004,2025-04-26, Email Open, No 
INT-0000193,1390,CMP-0030,05 Mar 2025, Click , No 
INT-0000194,355,CMP-0021,18 May 2025, Demo Request,No 
INT-0000195,222,CMP-0011,27 Jan 2025, Impression , Yes
INT-0000196,8,CMP-0019,2025-02-01,Trial Signup,NO
INT-0000197,187,CMP-0025,2025-04-02,website visit, No
INT-0000198,570,CMP-0015,"Mar 31, 2025",email open, No 
INT-0000199,85,CMP-0030,12-02-2025,Trial Signup ,No
INT-0000200,526,CMP-0005,"Oct 11, 2025", Website Visit , No 
INT-0000201,642,CMP-0009,"Mar 18, 2025",IMPRESSION,Yes
INT-0000202,378,CMP-0012,"Apr 20, 2025",click,no
INT-0000203,540,CMP-0003,29-01-2025,CLICK,Yes 
INT-0000204,1323,CMP-0017,03/13/2025,Demo Request, Yes
INT-0000205,401,CMP-0007,07/29/2025,Trial Signup ,yes
INT-0000206,1427,CMP-0010,14-09-2025,Website Visit , No
INT-0000207,1170,CMP-0014,07/04/2025,TRIAL SIGNUP,No 
INT-0000208,352,CMP-0017,02 Jul 2025, Demo Request,No
INT-0000209,312,CMP-0027,16-08-2025,demo request, Yes 
INT-0000210,238,CMP-0013,"Jun 09, 2025", Website Visit ,NO
INT-0000211,1297,CMP-0001,27 Sep 2025, Trial Signup ,No
INT-0000212,322,CMP-0011,07 Mar 2025, Click ,NO
INT-0000213,312,CMP-0024,01-03-2025,Demo Request, No 
INT-0000214,1129,CMP-0027,10/07/2025,Demo Request,no
INT-0000215,186,CMP-0023,04/18/2025,click,no
INT-0000216,333,CMP-0010,01 Sep 2025,DEMO REQUEST,no
INT-0000217,504,CMP-0022,2025-03-28,Click ,No
INT-0000218,366,CMP-0007,27 May 2025,Click ,No
INT-0000219,137,CMP-0019,10/22/2025, Email Open ,no
INT-0000220,474,CMP-0012,"Jun 30, 2025", Demo Request ,yes
INT-0000221,508,CMP-0020,2025-12-19, Email Open,no
INT-0000222,1378,CMP-0014,2025-11-12, Trial Signup,NO
INT-0000223,680,CMP-0011,28 Nov 2025,Website Visit , No
INT-0000224,1045,CMP-0006,12/03/2025,Website Visit, No
INT-0000225,1158,CMP-0012,02/11/2025, Email Open ,Yes 
INT-0000226,388,CMP-0024,01/27/2025, Demo Request,No 
INT-0000227,54,CMP-0025,24/06/2025,Click,No 
INT-0000228,1352,CMP-0015,07/25/2025,EMAIL OPEN, No
INT-0000229,76,CMP-0028,29 Oct 2025,Demo Request ,no
INT-0000230,759,CMP-0021,14/05/2025, Email Open ,No 
INT-0000231,683,CMP-0011,08-08-2025,email open,No
INT-0000232,490,CMP-0010,2025-08-04, Impression ,no
INT-0000233,990,CMP-0016,12/06/2025, Trial Signup,no
INT-0000234,1401,CMP-0021,15 Apr 2025, Email Open ,no
INT-0000235,351,CMP-0026,18/06/2025,Impression ,NO
INT-0000236,949,CMP-0011,05/26/2025,WEBSITE VISIT,NO
INT-0000237,164,CMP-0020,"Jan 10, 2025",Impression,no
INT-0000238,456,CMP-0011,18 Mar 2025, Demo Request ,yes
INT-0000239,1413,CMP-0001,"Oct 22, 2025", Demo Request,No
INT-0000240,715,CMP-0027,01/03/2025,click,No
INT-0000241,228,CMP-0025,02/28/2025,Website Visit,No 
INT-0000242,126,CMP-0013,2025-05-10,CLICK,no
INT-0000243,1240,CMP-0021,13/04/2025,website visit,NO
INT-0000244,1312,CMP-0022,"Sep 05, 2025", Click ,NO
INT-0000245,270,CMP-0029,01-03-2025, Impression,NO
INT-0000246,708,CMP-0019,"Aug 20, 2025",Impression , No 
INT-0000247,1134,CMP-0030,2025-10-28,impression,no
INT-0000248,614,CMP-0008,2025-07-21, Website Visit,no
INT-0000249,1252,CMP-0017,01/25/2025,demo request,Yes
INT-0000250,956,CMP-0020,27-02-2025, Impression,No 
INT-0000251,982,CMP-0006,2025-11-04,demo request,yes
INT-0000252,653,CMP-0025,11 Jan 2025,Email Open ,No
INT-0000253,738,CMP-0029,"Nov 08, 2025",DEMO REQUEST,No
INT-0000254,194,CMP-0022,30 Sep 2025, Trial Signup , No 
INT-0000255,742,CMP-0011,17/07/2025,demo request, No 
INT-0000256,913,CMP-0007,22/04/2025,Trial Signup,no
INT-0000257,1105,CMP-0011,12 Aug 2025,IMPRESSION,no
INT-0000258,1447,CMP-0020,2025-03-12, Demo Request ,no
INT-0000259,993,CMP-0029,17 Oct 2025,Email Open , Yes 
INT-0000260,594,CMP-0003,2025-12-22,email open,No 
INT-0000261,1440,CMP-0010,14/11/2025,IMPRESSION,NO
INT-0000262,436,CMP-0029,03/08/2025,Website Visit,No
INT-0000263,740,CMP-0010,30-11-2025, Impression,No 
INT-0000264,785,,2025-02-23,IMPRESSION,NO
INT-0000265,1355,CMP-0024,"Aug 07, 2025", Impression,NO
INT-0000266,221,CMP-0029,"Oct 31, 2025",TRIAL SIGNUP,No
INT-0000267,70,CMP-0003,2025-06-08,Email Open, No
INT-0000268,1362,CMP-0017,17-10-2025,Email Open,No
INT-0000269,751,CMP-0030,17-06-2025, Demo Request, No 
INT-0000270,279,CMP-0019,2025-06-04,trial signup, No
INT-0000271,521,CMP-0021,2025-07-28,Email Open , No 
INT-0000272,547,CMP-0030,07-09-2025, Demo Request , No 
INT-0000273,1472,CMP-0030,"Jan 05, 2025",EMAIL OPEN, No 
INT-0000274,730,CMP-0007,04/19/2025,Website Visit ,No
INT-0000275,470,CMP-0016,05 Jan 2025,Trial Signup, Yes 
INT-0000276,12,CMP-0015,11 Feb 2025,WEBSITE VISIT, No
INT-0000277,1361,CMP-0026,"Sep 27, 2025",email open,No 
INT-0000278,639,CMP-0005,23-04-2025, Click,No
INT-0000279,219,CMP-0009,08 Jun 2025, Demo Request , No 
INT-0000280,956,CMP-0021,23 May 2025, Impression , No 
INT-0000281,735,CMP-0025,"Nov 15, 2025", Email Open ,no
INT-0000282,112,CMP-0004,2025-06-16,DEMO REQUEST, No 
INT-0000283,973,CMP-0007,"Jul 04, 2025",Trial Signup,no
INT-0000284,922,CMP-0007,09/10/2025,Demo Request ,No
INT-0000285,747,CMP-0015,04/17/2025, Impression , No 
INT-0000286,93,CMP-0008,07 Jan 2025,Website Visit,No
INT-0000287,1466,CMP-0001,03 Sep 2025,impression,No 
INT-0000288,741,CMP-0019,06/07/2025,Impression,No
INT-0000289,1394,CMP-0019,"Mar 29, 2025", Trial Signup ,No 
INT-0000290,733,CMP-0006,03/01/2025, Website Visit ,no
INT-0000291,518,CMP-0021,25/07/2025, Impression,Yes 
INT-0000292,802,CMP-0018,01/12/2025, Demo Request ,no
INT-0000293,596,CMP-0028,05-03-2025,impression,NO
INT-0000294,1021,CMP-0007,"Feb 26, 2025",CLICK,Yes
INT-0000295,1444,CMP-0003,2025-03-24,website visit,No
INT-0000296,115,CMP-0018,"Feb 20, 2025", Trial Signup , Yes 
INT-0000297,744,CMP-0025,28-02-2025, Website Visit,No
INT-0000298,1015,CMP-0011,2025-08-17,Impression ,no
INT-0000299,258,CMP-0030,23-07-2025,Click ,Yes
INT-0000300,1002,CMP-0002,11 Jan 2025, Trial Signup ,Yes
INT-0000301,902,CMP-0021,03/08/2025,Email Open ,No 
INT-0000302,600,CMP-0012,19 Jul 2025,website visit,No
INT-0000303,1359,CMP-0020,28/05/2025, Website Visit ,Yes
INT-0000304,216,CMP-0019,2025-06-17,EMAIL OPEN,NO
INT-0000305,332,CMP-0003,08-09-2025,website visit,NO
INT-0000306,727,CMP-0004,30 Dec 2025, Trial Signup ,NO
INT-0000307,5,CMP-0023,"Feb 03, 2025",Impression, No
INT-0000308,179,CMP-0023,17 Oct 2025, Trial Signup,No
INT-0000309,560,CMP-0021,06/23/2025, Website Visit ,yes
INT-0000310,562,CMP-0016,23 Jun 2025, Impression,YES
INT-0000311,377,CMP-0013,13/05/2025,Trial Signup,No
INT-0000312,1435,CMP-0028,"Apr 01, 2025",CLICK, No 
INT-0000313,543,CMP-0011,"Apr 14, 2025", Email Open,NO
INT-0000314,382,CMP-0005,30 Mar 2025,Demo Request , Yes 
INT-0000315,1071,CMP-0001,2025-12-01,email open,Yes 
INT-0000316,295,CMP-0017,08/03/2025,impression,no
INT-0000317,137,CMP-0001,"Aug 24, 2025",Demo Request ,no
INT-0000318,403,CMP-0028,2025-02-02,Impression,NO
INT-0000319,877,CMP-0020,31-12-2025, Click ,no
INT-0000320,346,CMP-0030,16/12/2025,Click , Yes
INT-0000321,207,CMP-0012,09/25/2025,Trial Signup , No
INT-0000322,187,CMP-0023,14/01/2025,demo request,no
INT-0000323,222,CMP-0015,12-11-2025,impression,no
INT-0000324,1440,CMP-0020,06/10/2025,DEMO REQUEST,No 
INT-0000325,377,CMP-0022,09/21/2025, Demo Request, Yes 
INT-0000326,753,CMP-0002,2025-03-31, Trial Signup, No 
INT-0000327,1235,CMP-0024,01-12-2025, Email Open,NO
INT-0000328,690,CMP-0004,05 May 2025,WEBSITE VISIT,YES
INT-0000329,1189,CMP-0021,2025-05-12,Impression, No
INT-0000330,80,CMP-0003,"Mar 29, 2025",IMPRESSION,No 
INT-0000331,1027,CMP-0027,2025-01-02, Website Visit ,NO
INT-0000332,415,CMP-0019,2025-05-14,IMPRESSION,no
INT-0000333,1032,CMP-0021,02/05/2025,Website Visit ,No 
INT-0000334,1027,CMP-0023,2025-09-02,Website Visit ,NO
INT-0000335,1163,CMP-0011,03-10-2025,IMPRESSION, No
INT-0000336,1425,CMP-0004,2025-11-29,impression,no
INT-0000337,947,CMP-0010,11/28/2025,Demo Request ,Yes
INT-0000338,1089,CMP-0006,22/10/2025,Impression, No
INT-0000339,789,CMP-0012,10/10/2025,Impression ,no
INT-0000340,890,CMP-0003,2025-07-28, Email Open , No
INT-0000341,1039,CMP-0017,02 Nov 2025,Trial Signup,No
INT-0000342,1474,CMP-0019,09 Nov 2025,CLICK,No
INT-0000343,48,CMP-0007,01/06/2025,demo request,NO
INT-0000344,1226,CMP-0014,"Mar 07, 2025", Website Visit ,YES
INT-0000345,1407,CMP-0019,2025-12-21, Trial Signup, No
INT-0000346,1301,CMP-0013,09/05/2025,Impression,NO
INT-0000347,925,CMP-0019,24 Feb 2025,demo request,Yes
INT-0000348,364,CMP-0007,03/09/2025,CLICK,yes
INT-0000349,499,CMP-0002,2025-12-17, Trial Signup ,No
INT-0000350,660,CMP-0002,11/14/2025,email open,NO
INT-0000351,311,CMP-0023,08 Mar 2025, Click ,No
INT-0000352,179,CMP-0001,03/01/2025,Impression , No
INT-0000353,876,CMP-0013,2025-01-17,email open, Yes 
INT-0000354,798,CMP-0007,30-12-2025, Click, No 
INT-0000355,192,CMP-0011,08/24/2025, Impression , No 
INT-0000356,389,CMP-0018,2025-09-17,Email Open,NO
INT-0000357,1371,CMP-0016,12-01-2025,click,No
INT-0000358,1355,CMP-0026,24 Jun 2025, Email Open , No 
INT-0000359,167,CMP-0022,"Mar 26, 2025", Trial Signup ,no
INT-0000360,1255,CMP-0011,11/03/2025,Demo Request,No
INT-0000361,1470,CMP-0030,2025-06-02,Website Visit ,No 
INT-0000362,857,CMP-0013,05/23/2025, Website Visit,No 
INT-0000363,429,CMP-0016,18/01/2025,Trial Signup,No
INT-0000364,602,CMP-0025,17-10-2025,Click , Yes 
INT-0000365,1169,CMP-0022,2025-07-06, Website Visit, No
INT-0000366,192,CMP-0014,21/06/2025, Website Visit ,yes
INT-0000367,904,CMP-0028,01/05/2025,Impression ,NO
INT-0000368,810,CMP-0002,"May 25, 2025", Demo Request, No
INT-0000369,1325,CMP-0025,31/07/2025,impression, No 
INT-0000370,700000,CMP-0019,"Dec 23, 2025",Click,No 
INT-0000371,121,CMP-0022,19/04/2025, Trial Signup ,No
INT-0000372,314,CMP-0029,16/11/2025,Website Visit , No 
INT-0000373,400,CMP-0008,2025-04-26,Click,no
INT-0000374,66,CMP-0018,12/31/2025, Click,no
INT-0000375,1177,CMP-0007,02-09-2025, Trial Signup , No
INT-0000376,807,CMP-0030,11/12/2025,CLICK, No 
INT-0000377,693,CMP-0021,31 Jul 2025, Email Open , Yes 
INT-0000378,1345,CMP-0002,2025-03-17,Email Open , No 
INT-0000379,1238,CMP-0001,03/24/2025, Website Visit ,No
INT-0000380,704,CMP-0003,16/07/2025, Email Open ,No 
INT-0000381,335,CMP-0028,"Aug 09, 2025",Trial Signup ,NO
INT-0000382,334,CMP-0021,24/01/2025, Website Visit , Yes
INT-0000383,444,CMP-0004,12/27/2025, Website Visit,No
INT-0000384,938,CMP-0025,20 Jan 2025,Website Visit ,No 
INT-0000385,1050,CMP-0025,02-06-2025,Email Open,NO
INT-0000386,834,CMP-0019,20/03/2025,Demo Request ,yes
INT-0000387,352,CMP-0021,13-09-2025, Demo Request, No
INT-0000388,634,CMP-0021,30-09-2025,email open,No
INT-0000389,1034,CMP-0016,2025-02-05,DEMO REQUEST, Yes
INT-0000390,1104,CMP-0019,14/09/2025,Trial Signup ,No 
INT-0000391,285,CMP-0023,09 Sep 2025, Impression , No 
INT-0000392,927,CMP-0012,12/17/2025,Website Visit ,No 
INT-0000393,864,CMP-0003,07/20/2025,Email Open,YES
INT-0000394,955,CMP-0017,04 Nov 2025,Website Visit,No
INT-0000395,838,CMP-0024,"Dec 04, 2025", Website Visit, No 
INT-0000396,1127,CMP-0002,"Mar 03, 2025", Demo Request, No 
INT-0000397,1326,CMP-0029,17-04-2025,Email Open ,No
INT-0000398,116,CMP-0023,10-10-2025,Trial Signup ,Yes 
INT-0000399,1067,CMP-0001,06/08/2025,DEMO REQUEST,no
INT-0000400,808,CMP-0010,31-01-2025,Website Visit, No
INT-0000401,445,CMP-0003,09 Nov 2025,Click,NO
INT-0000402,1016,CMP-0013,2025-07-18,Trial Signup ,NO
INT-0000403,23,CMP-0022,20/12/2025,website visit, Yes
INT-0000404,481,CMP-0010,19/05/2025,Email Open,no
INT-0000405,1183,CMP-0002,2025-12-05, Trial Signup ,yes
INT-0000406,1101,CMP-0023,2025-03-30,impression,NO
INT-0000407,454,CMP-0001,11/04/2025,Impression, No
INT-0000408,206,CMP-0003,11 Jul 2025,IMPRESSION,NO
INT-0000409,239,CMP-0007,"Nov 20, 2025", Impression,No
INT-0000410,324,CMP-0028,22-09-2025, Website Visit,NO
INT-0000411,1188,CMP-0030,11 Oct 2025, Email Open,No
INT-0000412,811,CMP-0022,"Oct 12, 2025", Click,No
INT-0000413,393,CMP-0021,2025-12-10,EMAIL OPEN, No 
INT-0000414,824,CMP-0022,"Nov 13, 2025",CLICK,Yes
INT-0000415,787,CMP-0010,"Jan 10, 2025", Trial Signup , No
INT-0000416,616,CMP-0021,"Jan 06, 2025",EMAIL OPEN,Yes
INT-0000417,1467,CMP-0011,20-01-2025,Impression,no
INT-0000418,537,CMP-0012,30/09/2025, Impression,no
INT-0000419,1208,CMP-0013,"May 18, 2025",Click,no
INT-0000420,1073,CMP-0009,02-08-2025,Trial Signup ,no
INT-0000421,278,CMP-0022,30-09-2025,demo request, No
INT-0000422,1243,CMP-0030,"Feb 13, 2025", Click,NO
INT-0000423,754,CMP-0019,16/07/2025, Click ,Yes
INT-0000424,1241,CMP-0016,15/04/2025,Impression ,No 
INT-0000425,75,CMP-0019,28 Sep 2025,Trial Signup ,no
INT-0000426,244,CMP-0028,2025-12-29,Demo Request,No
